,Unnamed: 0_x,English,Chinese_Google,Dict_Acc_Google,Terms_Google,Correct_Terms_Google,Unnamed: 0_y,Chinese_M2M,Dict_Acc_M2M,Terms_M2M,Correct_Terms_M2M,Human Eval Google,Human Eval M2M
23,23,"garlic supplementation did not reduce gastric cancer incidence but did reduce mortality from gastric cancer ( aHR , 0.66 ) .","大蒜补充剂并未降低胃癌的发病率，但确实降低了胃癌的死亡率 (aHR, 0.66)。",0.875,"['incidence', 'cancer', 'gastric', 'reduce', 'garlic', 'mortality', 'gastric cancer', 'but']","['incidence', 'cancer', 'reduce', 'garlic', 'mortality', 'gastric cancer', 'but']",23,"['加糖补充剂没有减少胃癌的发病率,但减少了胃癌的死亡率(aHR,0.66)。']",0.625,"['incidence', 'cancer', 'gastric', 'reduce', 'garlic', 'mortality', 'gastric cancer', 'but']","['incidence', 'cancer', 'mortality', 'gastric cancer', 'but']",10.0,8.0
24,24,the beneficial effects of both vitamin and garlic supplementation were seen later than those from H. pylori eradication .,维生素和大蒜补充剂的有益作用晚于根除幽门螺杆菌。,0.6,"['eradication', 'vitamin', 'garlic', 'later', 'and']","['eradication', 'vitamin', 'garlic']",24,['维生素和胡萝卜补充剂的有益效果比H.pylori消灭的效果更晚。'],0.2,"['eradication', 'vitamin', 'garlic', 'later', 'and']",['vitamin'],10.0,8.0
25,25,"although the results reconfirm the benefit of H. pylori eradication at reducing gastric cancer incidence and mortality , the findings of the benefits of vitamin and garlic supplementation required longer observation to become apparent .",虽然结果再次证实了根除幽门螺杆菌对降低胃癌发病率和死亡率的益处，但补充维生素和大蒜的益处的发现需要更长时间的观察才能变得明显。,0.6153846153846154,"['eradication', 'incidence', 'cancer', 'gastric', 'vitamin', 'garlic', 'mortality', 'benefit', 'observation', 'gastric cancer', 'become', 'to', 'and']","['eradication', 'incidence', 'cancer', 'vitamin', 'garlic', 'mortality', 'observation', 'gastric cancer']",25,"['虽然结果证实了H. pylori的消灭对减少胃癌的发病率和死亡率的好处,但维生素和胡萝卜补充的好处的发现需要更长的观察才能显而易见。']",0.5384615384615384,"['eradication', 'incidence', 'cancer', 'gastric', 'vitamin', 'garlic', 'mortality', 'benefit', 'observation', 'gastric cancer', 'become', 'to', 'and']","['incidence', 'cancer', 'vitamin', 'mortality', 'observation', 'gastric cancer', 'and']",,
26,26,"the generalizability of the findings on supplementation may be limited , given that the study population had baseline nutritional deficiencies and a high risk for gastric cancer , but I would consider recommending a multivitamin for my patients at high risk for gastric cancer .",考虑到研究人群基线营养缺乏和胃癌高风险，补充剂研究结果的普遍性可能有限，但我会考虑向我的胃癌高风险患者推荐复合维生素。,0.3333333333333333,"['population', 'cancer', 'gastric', 'baseline', 'high risk', 'study', 'my', 'be', 'nutritional', 'gastric cancer', 'limited', 'I', 'that', 'but', 'and']","['population', 'cancer', 'baseline', 'gastric cancer', 'but']",26,"['关于补充剂的发现的普遍性可能有限,因为研究人口的基本营养缺陷和胃癌的风险很高,但我会考虑推荐一个多维生素给我的患者患胃癌的风险很高。']",0.2666666666666666,"['population', 'cancer', 'gastric', 'baseline', 'high risk', 'study', 'my', 'be', 'nutritional', 'gastric cancer', 'limited', 'I', 'that', 'but', 'and']","['population', 'cancer', 'gastric cancer', 'but']",,
27,27,a large cohort study found higher rates of cancer in children who underwent computed tomography than in those who did not .,一项大型队列研究发现，接受过计算机断层扫描的儿童患癌症的几率高于未接受过计算机断层扫描的儿童。,0.25,"['tomography', 'cancer', 'who', 'study', 'large', 'cohort study', 'computed tomography', 'in']","['tomography', 'cancer']",27,"['一项大型协调研究发现,在受计算 tomography 的儿童中,癌症的发病率高于未经计算的儿童中。']",0.125,"['tomography', 'cancer', 'who', 'study', 'large', 'cohort study', 'computed tomography', 'in']",['cancer'],,
28,28,"concerns about the carcinogenic effects of radiation are largely based on data from atomic bomb survivors , and the effects of ionizing radiation used for medical imaging are less well studied .",对辐射致癌作用的担忧主要基于原子弹爆炸幸存者的数据，而用于医学成像的电离辐射的影响研究较少。,0.5,"['carcinogenic', 'radiation', 'data', 'bomb', 'medical', 'ionizing radiation', 'well', 'atomic', 'imaging', 'and']","['radiation', 'data', 'bomb', 'ionizing radiation', 'and']",28,"['关于辐射的致癌作用的担忧主要是基于原子弹幸存者的数据,用于医学图像的离子辐射的效果不太好研究。']",0.3,"['carcinogenic', 'radiation', 'data', 'bomb', 'medical', 'ionizing radiation', 'well', 'atomic', 'imaging', 'and']","['radiation', 'data', 'bomb']",,
29,29,"to count as an exposure , diagnostic radiation had to have occurred two years before any cancer diagnosis .",要算作一次暴露，诊断性辐射必须在任何癌症诊断前两年发生。,0.5454545454545454,"['count', 'cancer', 'radiation', 'exposure', 'diagnosis', 'diagnostic', 'as', 'have', 'before', 'to', 'two']","['cancer', 'radiation', 'exposure', 'diagnosis', 'before', 'two']",29,"['要计算为曝光,诊断辐射必须在任何癌症诊断之前发生两年。']",0.5454545454545454,"['count', 'cancer', 'radiation', 'exposure', 'diagnosis', 'diagnostic', 'as', 'have', 'before', 'to', 'two']","['cancer', 'radiation', 'exposure', 'diagnosis', 'before', 'two']",,
30,30,"new cancers were diagnosed in 22,000 patients ( 0.02 % ) , including 1444 patients after radiation exposure ( 0.1 % ) .","22,000 名患者 (0.02%) 被诊断出新的癌症，其中包括 1444 名接受辐射照射后的患者 (0.1%)。",0.8,"['radiation', 'exposure', 'after', 'in', 'new']","['radiation', 'exposure', 'after', 'new']",30,"['新的癌症被诊断为22000名患者(0.02%),其中1444名患者在辐射曝光后(0.1%)。']",0.8,"['radiation', 'exposure', 'after', 'in', 'new']","['radiation', 'exposure', 'after', 'new']",,
31,31,"after adjustment for age and sex , radiation exposure was associated with a relative risk of 1.64 for developing a new cancer .",在针对年龄和性别进行调整后，辐射暴露与患上新癌症的相对风险 1.64 相关。,0.5333333333333333,"['a', 'cancer', 'radiation', 'exposure', 'sex', 'adjustment', 'relative', 'developing', 'associated', 'age', 'risk', 'after', 'with', 'and', 'new']","['cancer', 'radiation', 'exposure', 'sex', 'age', 'risk', 'after', 'new']",31,"['在年龄和性别调整后,辐射曝光与新癌症发育的相对风险为1.64相关。']",0.5333333333333333,"['a', 'cancer', 'radiation', 'exposure', 'sex', 'adjustment', 'relative', 'developing', 'associated', 'age', 'risk', 'after', 'with', 'and', 'new']","['cancer', 'radiation', 'exposure', 'sex', 'age', 'risk', 'after', 'new']",,
32,32,"the highest risks were for myelodysplasia , leukemias , and breast , thyroid , and oral and pharyngeal cancers .",风险最高的是骨髓增生异常、白血病、乳腺癌、甲状腺癌、口腔癌和咽癌。,0.2,"['thyroid', 'oral', 'pharyngeal', 'breast', 'and']",['thyroid'],32,"['最高的风险是甲状腺,乳腺,甲状腺和口腔和甲状腺癌。']",0.2,"['thyroid', 'oral', 'pharyngeal', 'breast', 'and']",['thyroid'],,
33,33,"however , the overall risk of cancer was still very low , so when imaging is necessary , we should not hesitate to order it .",但是，整体患癌症的风险仍然很低，因此当需要进行影像学检查时，我们应该毫不犹豫地进行检查。,0.4,"['cancer', 'order', 'still', 'low', 'necessary', 'risk', 'imaging', 'so', 'to', 'we']","['cancer', 'low', 'risk', 'so']",33,"['然而,癌症的总风险仍然很低,所以当图像需要时,我们不应该犹豫地订购它。']",0.4,"['cancer', 'order', 'still', 'low', 'necessary', 'risk', 'imaging', 'so', 'to', 'we']","['cancer', 'low', 'risk', 'so']",,
34,34,"treatment with cool running water was associated with improved outcomes , especially when administered for at least 20 minutes .",用凉爽的自来水治疗与改善结果有关，尤其是在至少持续 20 分钟的情况下。,0.5,"['water', 'running', 'associated', 'treatment', 'cool', 'with']","['water', 'treatment', 'cool']",34,"['冷流水的治疗与改善结果有关,特别是当服用至少20分钟时。']",0.5,"['water', 'running', 'associated', 'treatment', 'cool', 'with']","['water', 'treatment', 'cool']",,
35,35,recent evidence suggests that burns in adults heal better when treated with cool running water ( Burns 2019 ; 45 : 433 ; PLoS One 2016 ; 11 : e0147259 ) .,最近的证据表明，成人烧伤在用凉爽的自来水处理后愈合得更好（Burns 2019；45：433；PLoS One 2016；11：e0147259）。,0.5555555555555556,"['recent', 'water', 'running', 'heal', 'evidence', 'cool', 'with', 'burns', 'that']","['water', 'heal', 'evidence', 'cool', 'burns']",35,"['最近的证据表明,燃烧在成年人治疗时愈合更好(燃烧2019;45:433;PLoS One2016;11:e0147259)。']",0.2222222222222222,"['recent', 'water', 'running', 'heal', 'evidence', 'cool', 'with', 'burns', 'that']","['heal', 'evidence']",,
36,36,"to assess the effect of this treatment for pediatric burns , researchers queried an Australian burn center database that included structured interviews with patients and parents about first aid provided within 3 hours of injury , prior to burn center assessment .",为了评估这种治疗对小儿烧伤的效果，研究人员查询了澳大利亚烧伤中心的数据库，该数据库包括在烧伤中心评估之前对患者和父母进行的关于受伤 3 小时内提供的急救的结构化访谈。,0.5263157894736842,"['injury', 'center', 'parents', 'database', 'first aid', 'pediatric', 'burn', 'assessment', 'treatment', 'prior', 'effect', '3', 'with', 'burns', 'burn center', 'this', 'that', 'to', 'and']","['injury', 'center', 'first aid', 'burn', 'assessment', 'treatment', 'effect', 'burns', 'burn center', 'to']",36,"['为了评估这种治疗对儿科烧伤的影响,研究人员询问了澳大利亚烧伤中心的数据库,其中包括与患者和父母的结构化采访,关于在伤害后3小时内提供的第一援助,在烧伤中心的评估之前。']",0.4210526315789473,"['injury', 'center', 'parents', 'database', 'first aid', 'pediatric', 'burn', 'assessment', 'treatment', 'prior', 'effect', '3', 'with', 'burns', 'burn center', 'this', 'that', 'to', 'and']","['injury', 'center', 'burn', 'assessment', 'treatment', 'burns', 'burn center', 'to']",,
37,37,"patients with friction , electrical , and chemical burns as well as those with missing data were excluded .",有摩擦、电和化学灼伤的患者以及数据缺失的患者被排除在外。,0.3333333333333333,"['data', 'chemical', 'friction', 'well', 'as', 'with', 'burns', 'and', 'missing']","['data', 'friction', 'missing']",37,['被排除患有震动、电气和化学燃烧的患者以及缺乏数据的患者。'],0.2222222222222222,"['data', 'chemical', 'friction', 'well', 'as', 'with', 'burns', 'and', 'missing']","['data', 'missing']",,
38,38,"although observational , this study provides fairly convincing evidence that treatment of pediatric burns with cool running water as soon as possible improves important clinical outcomes .",虽然是观察性研究，但这项研究提供了相当有说服力的证据，证明尽快用凉爽的自来水治疗小儿烧伤可改善重要的临床结果。,0.5384615384615384,"['pediatric', 'study', 'water', 'running', 'treatment', 'clinical', 'evidence', 'cool', 'as', 'with', 'burns', 'this', 'that']","['water', 'treatment', 'clinical', 'evidence', 'cool', 'burns', 'this']",38,"['虽然观察性,但这项研究提供了相当令人信服的证据,儿童烧伤的治疗用冷流水尽快改善重要临床结果。']",0.4615384615384615,"['pediatric', 'study', 'water', 'running', 'treatment', 'clinical', 'evidence', 'cool', 'as', 'with', 'burns', 'this', 'that']","['water', 'treatment', 'clinical', 'evidence', 'cool', 'burns']",,
39,39,"the authors note that durations longer than 20 minutes have not been shown to provide additive benefit and could be harmful , although that was not tested in this study .",作者指出，持续时间超过 20 分钟并没有显示出额外的好处，而且可能有害，尽管本研究并未对此进行测试。,0.0909090909090909,"['study', 'be', 'additive', 'note', 'benefit', 'have not', 'this', 'that', 'in', 'to', 'and']",['and'],39,"['作者指出,超过20分钟的持续时间没有被证明提供添加益处,并且可能有害,尽管这项研究没有测试。']",0.0,"['study', 'be', 'additive', 'note', 'benefit', 'have not', 'this', 'that', 'in', 'to', 'and']",[],,
40,40,"HbA1c was averaged over time for each patient ( mean HbA1c level for the cohort , 8.0 % ) .",对每个患者的 HbA1c 随时间进行平均（队列的平均 HbA1c 水平，8.0%）。,0.5714285714285714,"['mean', 'time', 'patient', 'level', 'cohort', 'each', 'over']","['mean', 'time', 'patient', 'level']",40,['HbA1c 是每個患者的時間平均值(每個患者的 HbA1c 水平平均值為 8.0 % )。'],0.4285714285714285,"['mean', 'time', 'patient', 'level', 'cohort', 'each', 'over']","['mean', 'patient', 'level']",,
41,41,"thus , the authors suggest that an HbA1c target of 6.5 % to 6.9 % is reasonable .",因此，作者建议将 HbA1c 目标设定为 6.5% 至 6.9% 是合理的。,0.4,"['target', 'thus', 'suggest', 'that', 'to']","['target', 'thus']",41,"['因此,作者建议一个HbA1c目标为6.5%至6.9%是合理的。']",0.4,"['target', 'thus', 'suggest', 'that', 'to']","['target', 'thus']",,
42,42,"no ; benefits will outweigh risks for many menopausal patients who , through discussion of research findings and shared decision making , can make informed choices about HT use .",不 ;对于许多绝经期患者而言，收益将大于风险，他们可以通过讨论研究结果和共同决策，就 HT 使用做出明智的选择。,0.5,"['research', 'who', 'shared decision making', 'menopausal', 'will', 'discussion', 'and', 'make']","['research', 'shared decision making', 'discussion', 'and']",42,"['好处将超越许多更年期患者的风险,通过讨论研究结果和共享决策,可以做出关于HT使用的有信息的选择。']",0.25,"['research', 'who', 'shared decision making', 'menopausal', 'will', 'discussion', 'and', 'make']","['research', 'discussion']",,
43,43,hormone therapy ( HT ) is the most effective treatment for bothersome menopausal vasomotor symptoms .,激素疗法 (HT) 是治疗烦人的更年期血管舒缩症状最有效的方法。,0.5,"['hormone', 'vasomotor', 'symptoms', 'therapy', 'menopausal', 'treatment']","['hormone', 'therapy', 'treatment']",43,['荷尔蒙治疗(HT)是最有效的治疗缓慢的更年期血管症状。'],0.3333333333333333,"['hormone', 'vasomotor', 'symptoms', 'therapy', 'menopausal', 'treatment']","['therapy', 'treatment']",,
