,English,Chinese,Dictionary Accuracy,Terms,Correct Terms
29,"to count as an exposure , diagnostic radiation had to have occurred two years before any cancer diagnosis .","['要计算为曝光,诊断辐射必须在任何癌症诊断之前发生两年。']",0.5454545454545454,"['count', 'cancer', 'radiation', 'exposure', 'diagnosis', 'diagnostic', 'as', 'have', 'before', 'to', 'two']","['cancer', 'radiation', 'exposure', 'diagnosis', 'before', 'two']"
30,"new cancers were diagnosed in 22,000 patients ( 0.02 % ) , including 1444 patients after radiation exposure ( 0.1 % ) .","['新的癌症被诊断为22000名患者(0.02%),其中1444名患者在辐射曝光后(0.1%)。']",0.8,"['radiation', 'exposure', 'after', 'in', 'new']","['radiation', 'exposure', 'after', 'new']"
31,"after adjustment for age and sex , radiation exposure was associated with a relative risk of 1.64 for developing a new cancer .","['在年龄和性别调整后,辐射曝光与新癌症发育的相对风险为1.64相关。']",0.5714285714285714,"['cancer', 'radiation', 'exposure', 'sex', 'adjustment', 'relative', 'developing', 'associated', 'age', 'risk', 'after', 'with', 'and', 'new']","['cancer', 'radiation', 'exposure', 'sex', 'age', 'risk', 'after', 'new']"
32,"the highest risks were for myelodysplasia , leukemias , and breast , thyroid , and oral and pharyngeal cancers .","['最高的风险是甲状腺,乳腺,甲状腺和口腔和甲状腺癌。']",0.2,"['thyroid', 'oral', 'pharyngeal', 'breast', 'and']",['thyroid']
33,"however , the overall risk of cancer was still very low , so when imaging is necessary , we should not hesitate to order it .","['然而,癌症的总风险仍然很低,所以当图像需要时,我们不应该犹豫地订购它。']",0.4,"['cancer', 'order', 'still', 'low', 'necessary', 'risk', 'imaging', 'so', 'to', 'we']","['cancer', 'low', 'risk', 'so']"
34,"treatment with cool running water was associated with improved outcomes , especially when administered for at least 20 minutes .","['冷流水的治疗与改善结果有关,特别是当服用至少20分钟时。']",0.5,"['water', 'running', 'associated', 'treatment', 'cool', 'with']","['water', 'treatment', 'cool']"
35,recent evidence suggests that burns in adults heal better when treated with cool running water ( Burns 2019 ; 45 : 433 ; PLoS One 2016 ; 11 : e0147259 ) .,"['最近的证据表明,燃烧在成年人治疗时愈合更好(燃烧2019;45:433;PLoS One2016;11:e0147259)。']",0.2222222222222222,"['recent', 'water', 'running', 'heal', 'evidence', 'cool', 'with', 'burns', 'that']","['heal', 'evidence']"
36,"to assess the effect of this treatment for pediatric burns , researchers queried an Australian burn center database that included structured interviews with patients and parents about first aid provided within 3 hours of injury , prior to burn center assessment .","['为了评估这种治疗对儿科烧伤的影响,研究人员询问了澳大利亚烧伤中心的数据库,其中包括与患者和父母的结构化采访,关于在伤害后3小时内提供的第一援助,在烧伤中心的评估之前。']",0.35294117647058826,"['injury', 'parents', 'database', 'first aid', 'pediatric', 'assessment', 'treatment', 'prior', 'effect', '3', 'with', 'burns', 'burn center', 'this', 'that', 'to', 'and']","['injury', 'assessment', 'treatment', 'burns', 'burn center', 'to']"
37,"patients with friction , electrical , and chemical burns as well as those with missing data were excluded .",['被排除患有震动、电气和化学燃烧的患者以及缺乏数据的患者。'],0.2222222222222222,"['data', 'chemical', 'friction', 'well', 'as', 'with', 'burns', 'and', 'missing']","['data', 'missing']"
38,"although observational , this study provides fairly convincing evidence that treatment of pediatric burns with cool running water as soon as possible improves important clinical outcomes .","['虽然观察性,但这项研究提供了相当令人信服的证据,儿童烧伤的治疗用冷流水尽快改善重要临床结果。']",0.46153846153846156,"['pediatric', 'study', 'water', 'running', 'treatment', 'clinical', 'evidence', 'cool', 'as', 'with', 'burns', 'this', 'that']","['water', 'treatment', 'clinical', 'evidence', 'cool', 'burns']"
39,"the authors note that durations longer than 20 minutes have not been shown to provide additive benefit and could be harmful , although that was not tested in this study .","['作者指出,超过20分钟的持续时间没有被证明提供添加益处,并且可能有害,尽管这项研究没有测试。']",0.0,"['study', 'additive', 'note', 'benefit', 'have not', 'this', 'that', 'in', 'to', 'and']",[]
40,"HbA1c was averaged over time for each patient ( mean HbA1c level for the cohort , 8.0 % ) .",['HbA1c 是每個患者的時間平均值(每個患者的 HbA1c 水平平均值為 8.0 % )。'],0.42857142857142855,"['mean', 'time', 'patient', 'level', 'cohort', 'each', 'over']","['mean', 'patient', 'level']"
41,"thus , the authors suggest that an HbA1c target of 6.5 % to 6.9 % is reasonable .","['因此,作者建议一个HbA1c目标为6.5%至6.9%是合理的。']",0.4,"['target', 'thus', 'suggest', 'that', 'to']","['target', 'thus']"
42,"no ; benefits will outweigh risks for many menopausal patients who , through discussion of research findings and shared decision making , can make informed choices about HT use .","['好处将超越许多更年期患者的风险,通过讨论研究结果和共享决策,可以做出关于HT使用的有信息的选择。']",0.25,"['research', 'who', 'shared decision making', 'menopausal', 'will', 'discussion', 'and', 'make']","['research', 'discussion']"
43,hormone therapy ( HT ) is the most effective treatment for bothersome menopausal vasomotor symptoms .,['荷尔蒙治疗(HT)是最有效的治疗缓慢的更年期血管症状。'],0.3333333333333333,"['hormone', 'vasomotor', 'symptoms', 'therapy', 'menopausal', 'treatment']","['therapy', 'treatment']"
44,both regimens raised risk for stroke and venous thromboembolism but lowered risk for fractures and diabetes .,"['两种饮食都增加了中风和血管肿瘤的风险,但减少了裂缝和糖尿病的风险。']",0.4444444444444444,"['diabetes', 'stroke', 'venous', 'thromboembolism', 'risk', 'raised', 'fractures', 'but', 'and']","['diabetes', 'stroke', 'risk', 'but']"
45,"although observational studies over the past several decades have linked HT to increased breast cancer risk , the specific associations with HT formulation , route of delivery , and duration have been poorly studied .","['虽然过去几十年的观测研究将HT与乳腺癌风险增加有关,但与HT的具体组成、分娩路径和持续时间的具体联系已被研究不佳。']",0.5,"['breast cancer', 'delivery', 'risk', 'specific', 'formulation', 'duration', 'with', 'have', 'over', 'to', 'and', 'past']","['breast cancer', 'delivery', 'risk', 'duration', 'have', 'over']"
46,all systemic HT formulations ( including those using oral conjugated equine estrogens or estradiol or transdermal estradiol ) were associated with excess risk for breast cancer .,['所有系统的HT配方(包括使用口服合并的乙<unk>雌激素或 estradiol或 transdermal estradiol)都与乳腺癌的过度风险有关。'],0.25,"['excess', 'oral', 'breast cancer', 'associated', 'equine', 'risk', 'systemic', 'estradiol', 'with', 'estrogens', 'transdermal', 'all']","['breast cancer', 'risk', 'systemic']"
47,type of progestogen did not appear to affect these associations .,['这种类型的蛋白质似乎不会影响这些组合。'],0.6666666666666666,"['type', 'affect', 'progestogen']","['type', 'affect']"
48,vaginal estrogen was not associated with increased risk .,['阴道雌激素与增加风险无关。'],0.4,"['estrogen', 'vaginal', 'associated', 'risk', 'with']","['estrogen', 'risk']"
49,"assuming the reported associations are causal , the authors estimated the absolute risk for breast cancer up to age 70 .","['假设报告的协会是因果性的,作者估计到70岁之前患乳腺癌的绝对风险。']",0.42857142857142855,"['absolute', 'breast cancer', 'age', 'risk', 'causal', 'up', 'to']","['absolute', 'breast cancer', 'risk']"
50,"at 10 years of HT use , risks were approximately twice that at 5 years .","['在使用10年HT时,风险大约是5年时的两倍。']",0.25,"['5', 'approximately', 'that', 'twice']",['5']
51,"for EPT , both the randomized WHI trial and this new Lancet analysis of observational data indicated an increased risk for breast cancer .","['对于EPT,无论是随机的WHI测试还是新的Lancet观测数据分析,都表明乳腺癌的风险增加。']",0.6,"['lancet', 'analysis', 'breast cancer', 'risk', 'trial', 'observational data', 'EPT', 'this', 'and', 'new']","['analysis', 'breast cancer', 'risk', 'observational data', 'this', 'new']"
52,could the excess risk found in observational studies be exaggerated due to inherent limitations of the study design ?,['在观察研究中发现的过度风险是否会由于研究设计的本质限制而被夸张?'],0.5,"['excess', 'inherent', 'study', 'be', 'risk', 'design', 'due', 'to']","['be', 'risk', 'design', 'to']"
53,"in contrast , in the WHI trial ( and in most randomized trials of HT ) , both users and nonusers underwent uniformly standardized mammographic screening .","['相反,在WHI试验(和大多数随机试验的HT)中,用户和未使用者都接受了均匀标准化的乳房筛查。']",0.25,"['contrast', 'screening', 'trial', 'and']",['screening']
54,"thus , the excess breast cancer risk in observational studies could reflect increased mammographic detection of nonlethal cancers .","['因此,在观测研究中,乳腺癌的过度风险可能会反映非乳腺癌的增加乳腺癌检测。']",0.7142857142857143,"['excess', 'detection', 'breast cancer', 'reflect', 'risk', 'thus', 'in']","['detection', 'breast cancer', 'reflect', 'risk', 'thus']"
55,"accordingly , one advantage that observational studies have over randomized trials ( usually limited to 5 − 7 years of treatment ) is their ability to assess extended use .","['因此,观察研究对随机试验(通常限于5～7年的治疗)的一个优点是它们能够评估延长使用。']",0.5,"['5', 'treatment', 'advantage', 'ability', 'assess', 'limited', 'have', 'that', 'over', 'to']","['5', 'treatment', 'advantage', 'assess', 'to']"
56,"understandably , women are often concerned about breast cancer risk as they make decisions about HT ; however , such decisions should be guided by the big picture .","['可以理解的,女性经常担心乳腺癌的风险,因为他们做出关于HT的决定;但是,这样的决定应该由大图像引导。']",0.6666666666666666,"['breast cancer', 'be', 'picture', 'risk', 'by', 'make']","['breast cancer', 'picture', 'risk', 'by']"
57,"on an absolute scale , many of the risks associated with HT are modest .","['在绝对范围内,与HT相关的许多风险是微不足道的。']",0.2,"['scale', 'absolute', 'associated', 'with', 'on']",['absolute']
58,the largest hazard ratio associated with HT use corresponds to an elevated risk for venous thromboembolism - and using transdermal rather than oral estrogen appeared to attenuate this risk .,"['与HT使用相关的最大风险比例相当于血管血管肿瘤的风险增加,而使用跨皮质而不是口服雌激素似乎会减轻这种风险。']",0.42857142857142855,"['estrogen', 'hazard ratio', 'oral', 'venous', 'thromboembolism', 'associated', 'attenuate', 'risk', 'with', 'transdermal', '-', 'this', 'to', 'and']","['estrogen', 'hazard ratio', 'risk', 'this', 'to', 'and']"
59,"for many women , risks associated with HT are offset by reductions in symptoms , improved quality of life , and benefits in other health outcomes , such as fractures .","['对于许多妇女来说,与HT相关的风险是由症状的减少、生活质量的改善以及其他健康结果的好处,如骨折来补偿的。']",0.5,"['health', 'symptoms', 'offset', 'associated', 'quality of life', 'with', 'fractures', 'in', 'by', 'and']","['health', 'offset', 'quality of life', 'fractures', 'by']"
60,"the net effects of HT are most favorable for recently menopausal women who have moderate to severe vasomotor symptoms and low or average risks for breast cancer , cardiovascular disease , and venous thromboembolism .","['HT的净效应最有利于最近更年期妇女,患有适度至严重的血管发作症状,乳腺癌、心血管疾病和阴道血管肿瘤的风险较低或平均。']",0.3333333333333333,"['net', 'average', 'who', 'vasomotor', 'venous', 'breast cancer', 'moderate', 'symptoms', 'thromboembolism', 'menopausal', 'cardiovascular disease', 'low', 'severe', 'have', 'and']","['average', 'breast cancer', 'cardiovascular disease', 'low', 'have']"
61,"in sum , women deserve reliable information in order to make informed decisions - aligned with their personal preferences - on whether the potential benefits of HT are likely to outweigh the potential risks .","['总的来说,妇女应获得可靠的信息,以便根据自己的个人偏好做出有意识的决定,关于HT的潜在好处是否可能超越潜在的风险。']",0.5,"['potential', 'sum', 'personal', 'information', 'with', '-', 'in order to', 'make']","['potential', 'personal', 'information', 'in order to']"
62,"the primary outcome was treatment success , defined as a decrease of 50 % or more in the Gastroesophageal Reflux Disease ( GERD ) -Health Related Quality of Life score ( range , 0 to 50 , with higher scores indicating worse symptoms ) at 1 year .","['初步结果是治疗成功,定义为Gastroesophageal Reflux Disease(GERD) -Health Related Quality of Life Score(范围,0至50,高得分表明症状恶化)的50%或以上下降1年。']",0.375,"['disease', 'decrease', 'defined', 'range', 'year', '1', 'outcome', 'symptoms', 'treatment', 'primary', 'success', 'quality of life', 'score', 'with', 'gastroesophageal reflux', 'worse']","['range', 'year', '1', 'outcome', 'treatment', 'success']"
63,"a total of 366 patients ( mean age , 48.5 years ; 280 men ) were enrolled .",['共有366名患者(平均年龄、48.5岁、280名男性)被注册。'],0.6666666666666666,"['mean', 'total', 'age']","['mean', 'age']"
64,the remaining 78 patients underwent randomization .,['其余78名患者遭到随机化。'],1.0,['randomization'],['randomization']
65,"the difference in the incidence of treatment success between the active medical group and the control medical group was 16 percentage points ( 95 % confidence interval , − 5 to 38 ; P = 0.17 ) .","['活跃医疗组和控制医疗组之间的治疗成功率差异为16个百分点(95%的信任间隔, − 5 至 38; P = 0.17)。']",0.42857142857142855,"['group', 'percentage', '5', 'incidence', 'control', 'medical', 'active', 'difference', 'treatment', 'success', 'confidence interval', 'P', 'to', 'and']","['group', '5', 'control', 'difference', 'treatment', 'success']"
66,"for that highly selected subgroup , surgery was superior to medical treatment . ( Funded by the Department of Veterans Affairs Cooperative Studies Program ; ClinicalTrials.gov number , NCT01265550 . )","['对于这个高度选择的子组,手术优于医疗治疗(由退休人员事务合作研究计划资助;ClinicalTrials.gov号,NCT01265550。']",0.45454545454545453,"['cooperative', 'program', 'surgery', 'department', 'superior', 'medical treatment', 'number', 'subgroup', 'that', 'by', 'to']","['program', 'surgery', 'number', 'by', 'to']"
67,"in the United States , approximately 20 % of adults regularly have symptoms of gastroesophageal reflux disease ( GERD ) , 1 and annual costs for managing GERD exceed $ 12 billion.2","['在美国,大约20%的成年人经常患有胃血管流感疾病(GERD)的症状,1和管理GERD的年度成本超过12亿美元。']",0.4,"['annual', 'disease', '1', 'symptoms', 'gastroesophageal reflux', 'have', 'approximately', 'in', 'and', 'exceed']","['disease', '1', 'have', 'exceed']"
68,PPIs are often continued despite inadequate symptom relief.11,"['PPI经常持续,尽管症状缓解不够。']",0.3333333333333333,"['symptom', 'inadequate', 'despite']",['symptom']
69,"alternatively , for patients with reflux hypersensitivity , surgical reduction of reflux might not relieve symptoms generated by a hypersensitive esophagus .","['换句话说,对于患有过敏的患者,过敏的手术减少可能不会缓解由过敏性<unk>疹引起的症状。']",0.5,"['hypersensitivity', 'relieve', 'esophagus', 'surgical', 'reduction', 'symptoms', 'hypersensitive', 'reflux', 'with', 'by']","['hypersensitivity', 'relieve', 'reduction', 'hypersensitive', 'by']"
70,"surgeons are reluctant to rely on it to select patients for fundoplication , generally preferring traditional esophageal pH monitoring for that purpose.21","['外科医生拒绝依赖于选择病人进行补贴,一般偏好传统的尿液pH监测。']",0.3333333333333333,"['monitoring', 'esophageal', 'that']",['monitoring']
71,this trial was approved by the Veterans Affairs ( VA ) central institutional review board .,['该审判由维特兰事务中央机构审计委员会(VA)批准。'],0.5,"['review', 'central', 'board', 'trial', 'this', 'by']","['review', 'trial', 'by']"
72,"the authors vouch for the completeness and accuracy of the data and for the fidelity of the trial to the protocol , available with the full text of this article at NEJM.org .","['作者保证数据的完整性和准确性,以及对本议定书的审判忠诚性,可在NEJM.org上提供本文的完整文本。']",0.46153846153846156,"['fidelity', 'data', 'accuracy', 'protocol', 'article', 'available', 'trial', 'text', 'completeness', 'with', 'full', 'this', 'and']","['data', 'accuracy', 'protocol', 'trial', 'completeness', 'full']"
73,prerandomization Trial Procedures,['预先审判程序'],1.0,['trial'],['trial']
74,all patients who were referred to VA gastroenterology clinics for heartburn refractory to PPIs were screened ( Figure 1 ) .,['所有被转移到 VA 胃肠道诊所的病人对心燃解体的 PPI 进行了检查(图 1 )。'],0.14285714285714285,"['who', '1', 'figure', 'heartburn', 'refractory', 'gastroenterology', 'all']",['1']
75,"initial slow recruitment of patients resulted in intratrial changes to the protocol , including revised power calculations . ( for details on prerandomization trial procedures , randomization , intratrial changes to the protocol , and the statistical analysis , see the Supplementary Appendix , available at NEJM.org. )","['患者的初始缓慢招聘导致协议的内分子变化,包括修订的功率计算(关于预分测试程序、随机化、内分子协议的变化以及统计分析的详细信息,请参见附件,可在NEJM.org上找到)。']",0.6,"['appendix', 'randomization', 'power', 'protocol', 'supplementary', 'initial', 'recruitment', 'available', 'trial', 'statistical analysis']","['appendix', 'randomization', 'power', 'protocol', 'initial', 'statistical analysis']"
76,medical Treatment Groups,['医疗治疗组'],0.0,['medical treatment'],[]
77,investigators and patients were unaware of whether medical treatment was active or placebo .,['研究人员和患者不知道医疗治疗是否活跃或 placebo。'],0.0,"['placebo', 'active', 'medical treatment', 'unaware', 'and']",[]
78,"at all clinic visits , patients were queried about missed medication doses , and medication counts were performed .","['在所有临床访问中,患者被问及错过的药物剂量,并进行药物计算。']",0.25,"['medication', 'clinic', 'all', 'and']",['clinic']
79,patients in both groups received active omeprazole at a dose of 20 mg twice daily throughout the trial .,['两组患者在试验期间每天服用20毫克的活性 omeprazole。'],0.0,"['active', 'trial', 'at', 'dose', 'in', 'twice']",[]
80,"after discontinuation , patients with contraindications to desipramine were declared to have treatment failure .","['在中断后,患有抗示剂的患者被告知患有治疗失败。']",0.6666666666666666,"['failure', 'treatment', 'after', 'with', 'have', 'to']","['failure', 'treatment', 'after', 'have']"
81,surgical Treatment Group,['外科治疗小组'],0.0,"['surgical', 'treatment group']",[]
82,surgical treatment was laparoscopic Nissen fundoplication .,['手术治疗是Laparoscopic Nissen fundoplication。'],0.5,"['surgical', 'treatment']",['treatment']
83,heartburn medications were prohibited after fundoplication .,['心燃药物被禁止在基金投注后。'],0.5,"['heartburn', 'after']",['after']
84,this article does not include all analyses and outcomes that were prespecified in the protocol and does not include any analyses or outcome measures that were not prespecified in the protocol .,"['本条不包括在议定书中预定的所有分析和结果,也不包括在议定书中未预定的任何分析或结果措施。']",0.25,"['outcome', 'protocol', 'article', 'all', 'this', 'that', 'in', 'and']","['outcome', 'protocol']"
85,"to keep the overall type I error at 0.05 for the null hypothesis , the alpha level for each of the three comparisons was adjusted with the use of the Hochberg method.25","['为了在零假设中保持总类型 I 错误为 0.05,每个三种比较的 alpha 水平通过使用 Hochberg 方法进行调整。']",0.3333333333333333,"['type', 'alpha', 'error', 'keep', 'null hypothesis', 'level', 'with', 'at', 'I', 'three', 'each', 'to']","['type', 'error', 'keep', 'level']"
86,"we used SAS software , version 9.4 ( SAS Institute ) , for all analyses .","['我们使用SAS软件,版本 9.4(SAS研究所),用于所有分析。']",0.5,"['version', 'software', 'institute', 'SAS', 'all', 'we']","['version', 'software', 'institute']"
87,prerandomization PROCEDURE EXCLUSIONS,['提前排除程序'],,[],[]
88,"a revised power calculation called for 108 randomly assigned patients , but enrollment was capped at 78 solely because of funding limitations .","['一个修订的电力计算呼吁108随机分配的病人,但注册被抓到78仅因为融资限制。']",0.5,"['power', 'capped', 'at', 'but']","['power', 'but']"
89,randomly ASSIGNED PATIENTS,['随机注册的病人'],,[],[]
