,English,Chinese,Dictionary Accuracy,Terms,Correct Terms
20,the 1107 participants without H. pylori infection were assigned in a 2 × 2 factorial fashion to vitamin or garlic supplementation or to placebos for each .,1107 名未感染幽门螺杆菌的参与者以 2 × 2 阶乘方式被分配到维生素或大蒜补充剂组或安慰剂组。,0.625,"['infection', 'placebos', 'vitamin', '2', 'garlic', 'each', 'to', 'without']","['infection', 'placebos', 'vitamin', '2', 'garlic']"
21,"H. pylori eradication reduced the incidence of gastric cancer ( odds ratio , 0.48 ) and mortality from gastric cancer ( adjusted hazard ratio , 0.62 ) .",根除幽门螺杆菌降低了胃癌的发病率（比值比，0.48）和胃癌死亡率（调整后的风险比，0.62）。,0.7142857142857143,"['eradication', 'incidence', 'hazard ratio', 'mortality', 'gastric cancer', 'and', 'odds']","['eradication', 'incidence', 'hazard ratio', 'mortality', 'gastric cancer']"
22,"vitamin supplementation also decreased the incidence of gastric cancer ( OR , 0.64 ) and mortality from gastric cancer ( aHR , 0.48 ) .","维生素补充剂还降低了胃癌的发病率 (OR, 0.64) 和胃癌死亡率 (aHR, 0.48)。",0.6666666666666666,"['incidence', 'vitamin', 'mortality', 'OR', 'gastric cancer', 'and']","['incidence', 'vitamin', 'mortality', 'gastric cancer']"
23,"garlic supplementation did not reduce gastric cancer incidence but did reduce mortality from gastric cancer ( aHR , 0.66 ) .","大蒜补充剂并未降低胃癌的发病率，但确实降低了胃癌的死亡率 (aHR, 0.66)。",1.0,"['incidence', 'reduce', 'garlic', 'mortality', 'gastric cancer', 'but']","['incidence', 'reduce', 'garlic', 'mortality', 'gastric cancer', 'but']"
24,the beneficial effects of both vitamin and garlic supplementation were seen later than those from H. pylori eradication .,维生素和大蒜补充剂的有益作用晚于根除幽门螺杆菌。,0.6,"['eradication', 'vitamin', 'garlic', 'later', 'and']","['eradication', 'vitamin', 'garlic']"
25,"although the results reconfirm the benefit of H. pylori eradication at reducing gastric cancer incidence and mortality , the findings of the benefits of vitamin and garlic supplementation required longer observation to become apparent .",虽然结果再次证实了根除幽门螺杆菌对降低胃癌发病率和死亡率的益处，但补充维生素和大蒜的益处的发现需要更长时间的观察才能变得明显。,0.6363636363636364,"['eradication', 'incidence', 'vitamin', 'garlic', 'mortality', 'benefit', 'observation', 'gastric cancer', 'become', 'to', 'and']","['eradication', 'incidence', 'vitamin', 'garlic', 'mortality', 'observation', 'gastric cancer']"
26,"the generalizability of the findings on supplementation may be limited , given that the study population had baseline nutritional deficiencies and a high risk for gastric cancer , but I would consider recommending a multivitamin for my patients at high risk for gastric cancer .",考虑到研究人群基线营养缺乏和胃癌高风险，补充剂研究结果的普遍性可能有限，但我会考虑向我的胃癌高风险患者推荐复合维生素。,0.3076923076923077,"['population', 'baseline', 'high risk', 'study', 'my', 'be', 'nutritional', 'gastric cancer', 'limited', 'I', 'that', 'but', 'and']","['population', 'baseline', 'gastric cancer', 'but']"
27,a large cohort study found higher rates of cancer in children who underwent computed tomography than in those who did not .,一项大型队列研究发现，接受过计算机断层扫描的儿童患癌症的几率高于未接受过计算机断层扫描的儿童。,0.16666666666666666,"['cancer', 'who', 'large', 'cohort study', 'computed tomography', 'in']",['cancer']
28,"concerns about the carcinogenic effects of radiation are largely based on data from atomic bomb survivors , and the effects of ionizing radiation used for medical imaging are less well studied .",对辐射致癌作用的担忧主要基于原子弹爆炸幸存者的数据，而用于医学成像的电离辐射的影响研究较少。,0.4444444444444444,"['carcinogenic', 'data', 'bomb', 'medical', 'ionizing radiation', 'well', 'atomic', 'imaging', 'and']","['data', 'bomb', 'ionizing radiation', 'and']"
29,"to count as an exposure , diagnostic radiation had to have occurred two years before any cancer diagnosis .",要算作一次暴露，诊断性辐射必须在任何癌症诊断前两年发生。,0.5454545454545454,"['count', 'cancer', 'radiation', 'exposure', 'diagnosis', 'diagnostic', 'as', 'have', 'before', 'to', 'two']","['cancer', 'radiation', 'exposure', 'diagnosis', 'before', 'two']"
30,"new cancers were diagnosed in 22,000 patients ( 0.02 % ) , including 1444 patients after radiation exposure ( 0.1 % ) .","22,000 名患者 (0.02%) 被诊断出新的癌症，其中包括 1444 名接受辐射照射后的患者 (0.1%)。",0.8,"['radiation', 'exposure', 'after', 'in', 'new']","['radiation', 'exposure', 'after', 'new']"
31,"after adjustment for age and sex , radiation exposure was associated with a relative risk of 1.64 for developing a new cancer .",在针对年龄和性别进行调整后，辐射暴露与患上新癌症的相对风险 1.64 相关。,0.5714285714285714,"['cancer', 'radiation', 'exposure', 'sex', 'adjustment', 'relative', 'developing', 'associated', 'age', 'risk', 'after', 'with', 'and', 'new']","['cancer', 'radiation', 'exposure', 'sex', 'age', 'risk', 'after', 'new']"
32,"the highest risks were for myelodysplasia , leukemias , and breast , thyroid , and oral and pharyngeal cancers .",风险最高的是骨髓增生异常、白血病、乳腺癌、甲状腺癌、口腔癌和咽癌。,0.2,"['thyroid', 'oral', 'pharyngeal', 'breast', 'and']",['thyroid']
33,"however , the overall risk of cancer was still very low , so when imaging is necessary , we should not hesitate to order it .",但是，整体患癌症的风险仍然很低，因此当需要进行影像学检查时，我们应该毫不犹豫地进行检查。,0.4,"['cancer', 'order', 'still', 'low', 'necessary', 'risk', 'imaging', 'so', 'to', 'we']","['cancer', 'low', 'risk', 'so']"
34,"treatment with cool running water was associated with improved outcomes , especially when administered for at least 20 minutes .",用凉爽的自来水治疗与改善结果有关，尤其是在至少持续 20 分钟的情况下。,0.5,"['water', 'running', 'associated', 'treatment', 'cool', 'with']","['water', 'treatment', 'cool']"
35,recent evidence suggests that burns in adults heal better when treated with cool running water ( Burns 2019 ; 45 : 433 ; PLoS One 2016 ; 11 : e0147259 ) .,最近的证据表明，成人烧伤在用凉爽的自来水处理后愈合得更好（Burns 2019；45：433；PLoS One 2016；11：e0147259）。,0.5555555555555556,"['recent', 'water', 'running', 'heal', 'evidence', 'cool', 'with', 'burns', 'that']","['water', 'heal', 'evidence', 'cool', 'burns']"
36,"to assess the effect of this treatment for pediatric burns , researchers queried an Australian burn center database that included structured interviews with patients and parents about first aid provided within 3 hours of injury , prior to burn center assessment .",为了评估这种治疗对小儿烧伤的效果，研究人员查询了澳大利亚烧伤中心的数据库，该数据库包括在烧伤中心评估之前对患者和父母进行的关于受伤 3 小时内提供的急救的结构化访谈。,0.47058823529411764,"['injury', 'parents', 'database', 'first aid', 'pediatric', 'assessment', 'treatment', 'prior', 'effect', '3', 'with', 'burns', 'burn center', 'this', 'that', 'to', 'and']","['injury', 'first aid', 'assessment', 'treatment', 'effect', 'burns', 'burn center', 'to']"
37,"patients with friction , electrical , and chemical burns as well as those with missing data were excluded .",有摩擦、电和化学灼伤的患者以及数据缺失的患者被排除在外。,0.3333333333333333,"['data', 'chemical', 'friction', 'well', 'as', 'with', 'burns', 'and', 'missing']","['data', 'friction', 'missing']"
38,"although observational , this study provides fairly convincing evidence that treatment of pediatric burns with cool running water as soon as possible improves important clinical outcomes .",虽然是观察性研究，但这项研究提供了相当有说服力的证据，证明尽快用凉爽的自来水治疗小儿烧伤可改善重要的临床结果。,0.5384615384615384,"['pediatric', 'study', 'water', 'running', 'treatment', 'clinical', 'evidence', 'cool', 'as', 'with', 'burns', 'this', 'that']","['water', 'treatment', 'clinical', 'evidence', 'cool', 'burns', 'this']"
39,"the authors note that durations longer than 20 minutes have not been shown to provide additive benefit and could be harmful , although that was not tested in this study .",作者指出，持续时间超过 20 分钟并没有显示出额外的好处，而且可能有害，尽管本研究并未对此进行测试。,0.1,"['study', 'additive', 'note', 'benefit', 'have not', 'this', 'that', 'in', 'to', 'and']",['and']
40,"HbA1c was averaged over time for each patient ( mean HbA1c level for the cohort , 8.0 % ) .",对每个患者的 HbA1c 随时间进行平均（队列的平均 HbA1c 水平，8.0%）。,0.5714285714285714,"['mean', 'time', 'patient', 'level', 'cohort', 'each', 'over']","['mean', 'time', 'patient', 'level']"
41,"thus , the authors suggest that an HbA1c target of 6.5 % to 6.9 % is reasonable .",因此，作者建议将 HbA1c 目标设定为 6.5% 至 6.9% 是合理的。,0.4,"['target', 'thus', 'suggest', 'that', 'to']","['target', 'thus']"
42,"no ; benefits will outweigh risks for many menopausal patients who , through discussion of research findings and shared decision making , can make informed choices about HT use .",不 ;对于许多绝经期患者而言，收益将大于风险，他们可以通过讨论研究结果和共同决策，就 HT 使用做出明智的选择。,0.5,"['research', 'who', 'shared decision making', 'menopausal', 'will', 'discussion', 'and', 'make']","['research', 'shared decision making', 'discussion', 'and']"
43,hormone therapy ( HT ) is the most effective treatment for bothersome menopausal vasomotor symptoms .,激素疗法 (HT) 是治疗烦人的更年期血管舒缩症状最有效的方法。,0.5,"['hormone', 'vasomotor', 'symptoms', 'therapy', 'menopausal', 'treatment']","['hormone', 'therapy', 'treatment']"
44,both regimens raised risk for stroke and venous thromboembolism but lowered risk for fractures and diabetes .,这两种方案都会增加中风和静脉血栓栓塞的风险，但会降低骨折和糖尿病的风险。,0.6666666666666666,"['diabetes', 'stroke', 'venous', 'thromboembolism', 'risk', 'raised', 'fractures', 'but', 'and']","['diabetes', 'stroke', 'thromboembolism', 'risk', 'fractures', 'but']"
45,"although observational studies over the past several decades have linked HT to increased breast cancer risk , the specific associations with HT formulation , route of delivery , and duration have been poorly studied .",尽管过去几十年的观察性研究已将 HT 与乳腺癌风险增加联系起来，但与 HT 配方、分娩途径和持续时间的具体关联研究很少。,0.4166666666666667,"['breast cancer', 'delivery', 'risk', 'specific', 'formulation', 'duration', 'with', 'have', 'over', 'to', 'and', 'past']","['breast cancer', 'delivery', 'risk', 'duration', 'over']"
46,all systemic HT formulations ( including those using oral conjugated equine estrogens or estradiol or transdermal estradiol ) were associated with excess risk for breast cancer .,所有全身性 HT 制剂（包括使用口服结合马雌激素或雌二醇或透皮雌二醇的制剂）都与患乳腺癌的风险过高有关。,0.3333333333333333,"['excess', 'oral', 'breast cancer', 'associated', 'equine', 'risk', 'systemic', 'estradiol', 'with', 'estrogens', 'transdermal', 'all']","['breast cancer', 'risk', 'estradiol', 'transdermal']"
47,type of progestogen did not appear to affect these associations .,孕激素的类型似乎并未影响这些关联。,0.6666666666666666,"['type', 'affect', 'progestogen']","['type', 'affect']"
48,vaginal estrogen was not associated with increased risk .,阴道雌激素与风险增加无关。,0.4,"['estrogen', 'vaginal', 'associated', 'risk', 'with']","['estrogen', 'risk']"
49,"assuming the reported associations are causal , the authors estimated the absolute risk for breast cancer up to age 70 .",假设报告的关联是因果关系，作者估计了 70 岁以下患乳腺癌的绝对风险。,0.42857142857142855,"['absolute', 'breast cancer', 'age', 'risk', 'causal', 'up', 'to']","['absolute', 'breast cancer', 'risk']"
50,"at 10 years of HT use , risks were approximately twice that at 5 years .",使用 HT 10 年时，风险大约是 5 年时的两倍。,0.25,"['5', 'approximately', 'that', 'twice']",['5']
51,"for EPT , both the randomized WHI trial and this new Lancet analysis of observational data indicated an increased risk for breast cancer .",对于 EPT，随机 WHI 试验和这项新的柳叶刀观察数据分析均表明患乳腺癌的风险增加。,0.4,"['lancet', 'analysis', 'breast cancer', 'risk', 'trial', 'observational data', 'EPT', 'this', 'and', 'new']","['analysis', 'breast cancer', 'risk', 'new']"
52,could the excess risk found in observational studies be exaggerated due to inherent limitations of the study design ?,由于研究设计的固有局限性，是否会夸大观察性研究中发现的额外风险？,0.375,"['excess', 'inherent', 'study', 'be', 'risk', 'design', 'due', 'to']","['risk', 'design', 'to']"
53,"in contrast , in the WHI trial ( and in most randomized trials of HT ) , both users and nonusers underwent uniformly standardized mammographic screening .",相比之下，在 WHI 试验（以及大多数 HT 随机试验）中，使用者和非使用者都接受了统一标准化的乳房 X 光检查。,0.0,"['contrast', 'screening', 'trial', 'and']",[]
54,"thus , the excess breast cancer risk in observational studies could reflect increased mammographic detection of nonlethal cancers .",因此，观察性研究中乳腺癌风险过高可能反映了非致命性癌症的乳房 X 光检查检测率增加。,0.7142857142857143,"['excess', 'detection', 'breast cancer', 'reflect', 'risk', 'thus', 'in']","['detection', 'breast cancer', 'reflect', 'risk', 'thus']"
55,"accordingly , one advantage that observational studies have over randomized trials ( usually limited to 5 − 7 years of treatment ) is their ability to assess extended use .",因此，观察性研究优于随机试验（通常限于 5-7 年的治疗）的一个优势是它们能够评估延长使用时间。,0.5,"['5', 'treatment', 'advantage', 'ability', 'assess', 'limited', 'have', 'that', 'over', 'to']","['5', 'treatment', 'advantage', 'assess', 'to']"
56,"understandably , women are often concerned about breast cancer risk as they make decisions about HT ; however , such decisions should be guided by the big picture .",可以理解的是，女性在做出关于 HT 的决定时通常会担心患乳腺癌的风险；但是，此类决策应以大局为指导。,0.6666666666666666,"['breast cancer', 'be', 'picture', 'risk', 'by', 'make']","['breast cancer', 'be', 'risk', 'by']"
57,"on an absolute scale , many of the risks associated with HT are modest .",从绝对规模上看，许多与 HT 相关的风险是适度的。,0.2,"['scale', 'absolute', 'associated', 'with', 'on']",['absolute']
58,the largest hazard ratio associated with HT use corresponds to an elevated risk for venous thromboembolism - and using transdermal rather than oral estrogen appeared to attenuate this risk .,与 HT 使用相关的最大风险比对应于静脉血栓栓塞风险的升高 - 使用透皮而不是口服雌激素似乎可以降低这种风险。,0.5714285714285714,"['estrogen', 'hazard ratio', 'oral', 'venous', 'thromboembolism', 'associated', 'attenuate', 'risk', 'with', 'transdermal', '-', 'this', 'to', 'and']","['estrogen', 'hazard ratio', 'thromboembolism', 'risk', 'transdermal', 'this', 'to', 'and']"
59,"for many women , risks associated with HT are offset by reductions in symptoms , improved quality of life , and benefits in other health outcomes , such as fractures .",对于许多女性来说，与 HT 相关的风险会被症状减轻、生活质量改善以及骨折等其他健康结果的益处所抵消。,0.5,"['health', 'symptoms', 'offset', 'associated', 'quality of life', 'with', 'fractures', 'in', 'by', 'and']","['health', 'offset', 'quality of life', 'fractures', 'by']"
60,"the net effects of HT are most favorable for recently menopausal women who have moderate to severe vasomotor symptoms and low or average risks for breast cancer , cardiovascular disease , and venous thromboembolism .",HT 的净效应最有利于最近绝经的妇女，她们有中度至重度血管舒缩症状，患乳腺癌、心血管疾病和静脉血栓栓塞症的风险较低或一般。,0.4666666666666667,"['net', 'average', 'who', 'vasomotor', 'venous', 'breast cancer', 'moderate', 'symptoms', 'thromboembolism', 'menopausal', 'cardiovascular disease', 'low', 'severe', 'have', 'and']","['breast cancer', 'thromboembolism', 'menopausal', 'cardiovascular disease', 'low', 'severe', 'have']"
61,"in sum , women deserve reliable information in order to make informed decisions - aligned with their personal preferences - on whether the potential benefits of HT are likely to outweigh the potential risks .",总而言之，女性应该得到可靠的信息，以便根据她们的个人喜好做出明智的决定，了解 HT 的潜在益处是否可能超过潜在风险。,0.25,"['potential', 'sum', 'personal', 'information', 'with', '-', 'in order to', 'make']","['information', 'in order to']"
62,"the primary outcome was treatment success , defined as a decrease of 50 % or more in the Gastroesophageal Reflux Disease ( GERD ) -Health Related Quality of Life score ( range , 0 to 50 , with higher scores indicating worse symptoms ) at 1 year .",主要结果是治疗成功，定义为 1 年时胃食管反流病 (GERD) 与健康相关的生活质量评分（范围 0 至 50，评分越高表示症状越严重）下降 50% 或更多。,0.5625,"['disease', 'decrease', 'defined', 'range', 'year', '1', 'outcome', 'symptoms', 'treatment', 'primary', 'success', 'quality of life', 'score', 'with', 'gastroesophageal reflux', 'worse']","['disease', 'range', 'year', '1', 'outcome', 'treatment', 'success', 'quality of life', 'gastroesophageal reflux']"
63,"a total of 366 patients ( mean age , 48.5 years ; 280 men ) were enrolled .",共有 366 名患者（平均年龄 48.5 岁；280 名男性）入组。,0.6666666666666666,"['mean', 'total', 'age']","['mean', 'age']"
64,the remaining 78 patients underwent randomization .,其余 78 名患者接受了随机分组。,1.0,['randomization'],['randomization']
65,"the difference in the incidence of treatment success between the active medical group and the control medical group was 16 percentage points ( 95 % confidence interval , − 5 to 38 ; P = 0.17 ) .",活性药物组和对照药物组治疗成功率的差异为16个百分点（95%置信区间，-5至38；P=0.17）。,0.5,"['group', 'percentage', '5', 'incidence', 'control', 'medical', 'active', 'difference', 'treatment', 'success', 'confidence interval', 'P', 'to', 'and']","['group', '5', 'control', 'difference', 'treatment', 'success', 'confidence interval']"
66,"for that highly selected subgroup , surgery was superior to medical treatment . ( Funded by the Department of Veterans Affairs Cooperative Studies Program ; ClinicalTrials.gov number , NCT01265550 . )",对于那个经过严格挑选的亚组，手术优于药物治疗。 （由退伍军人事务部合作研究计划资助；ClinicalTrials.gov 编号，NCT01265550。）,0.5454545454545454,"['cooperative', 'program', 'surgery', 'department', 'superior', 'medical treatment', 'number', 'subgroup', 'that', 'by', 'to']","['program', 'surgery', 'department', 'number', 'by', 'to']"
67,"in the United States , approximately 20 % of adults regularly have symptoms of gastroesophageal reflux disease ( GERD ) , 1 and annual costs for managing GERD exceed $ 12 billion.2",在美国，大约 20 % 的成年人经常有胃食管反流病 ( GERD ) 的症状 1 ，每年管理 GERD 的费用超过 120 亿美元。 2,0.5,"['annual', 'disease', '1', 'symptoms', 'gastroesophageal reflux', 'have', 'approximately', 'in', 'and', 'exceed']","['disease', '1', 'gastroesophageal reflux', 'have', 'exceed']"
68,PPIs are often continued despite inadequate symptom relief.11,尽管症状缓解不充分，但 PPI 通常会继续使用。 11,0.3333333333333333,"['symptom', 'inadequate', 'despite']",['symptom']
69,"alternatively , for patients with reflux hypersensitivity , surgical reduction of reflux might not relieve symptoms generated by a hypersensitive esophagus .",或者，对于反流过敏的患者，减少反流的手术可能无法缓解由过敏性食管引起的症状。,0.7,"['hypersensitivity', 'relieve', 'esophagus', 'surgical', 'reduction', 'symptoms', 'hypersensitive', 'reflux', 'with', 'by']","['hypersensitivity', 'relieve', 'esophagus', 'reduction', 'hypersensitive', 'reflux', 'by']"
70,"surgeons are reluctant to rely on it to select patients for fundoplication , generally preferring traditional esophageal pH monitoring for that purpose.21",外科医生不愿意依靠它来选择患者进行胃底折叠术，通常更喜欢为此目的进行传统的食管 pH 监测。 21,0.6666666666666666,"['monitoring', 'esophageal', 'that']","['monitoring', 'esophageal']"
71,this trial was approved by the Veterans Affairs ( VA ) central institutional review board .,该试验得到了退伍军人事务部 (VA) 中央机构审查委员会的批准。,0.16666666666666666,"['review', 'central', 'board', 'trial', 'this', 'by']",['review']
72,"the authors vouch for the completeness and accuracy of the data and for the fidelity of the trial to the protocol , available with the full text of this article at NEJM.org .",作者保证数据的完整性和准确性以及试验对方案的忠实度，方案与本文全文可在 NEJM.org 获取。,0.3076923076923077,"['fidelity', 'data', 'accuracy', 'protocol', 'article', 'available', 'trial', 'text', 'completeness', 'with', 'full', 'this', 'and']","['data', 'accuracy', 'completeness', 'full']"
73,prerandomization Trial Procedures,随机化前试验程序,0.0,['trial'],[]
74,all patients who were referred to VA gastroenterology clinics for heartburn refractory to PPIs were screened ( Figure 1 ) .,所有因 PPI 难治性胃灼热而转诊至 VA 胃肠病诊所的患者均接受了筛查（图 1）。,0.2857142857142857,"['who', '1', 'figure', 'heartburn', 'refractory', 'gastroenterology', 'all']","['1', 'heartburn']"
75,"initial slow recruitment of patients resulted in intratrial changes to the protocol , including revised power calculations . ( for details on prerandomization trial procedures , randomization , intratrial changes to the protocol , and the statistical analysis , see the Supplementary Appendix , available at NEJM.org. )",最初缓慢招募患者导致试验中对方案进行了更改，包括修改了功效计算。 （有关随机化前试验程序、随机化、试验方案变更和统计分析的详细信息，请参阅补充附录，可在 NEJM.org 获取。）,0.5,"['appendix', 'randomization', 'power', 'protocol', 'supplementary', 'initial', 'recruitment', 'available', 'trial', 'statistical analysis']","['randomization', 'protocol', 'initial', 'recruitment', 'statistical analysis']"
76,medical Treatment Groups,医疗组,0.0,['medical treatment'],[]
77,investigators and patients were unaware of whether medical treatment was active or placebo .,研究人员和患者不知道药物治疗是积极的还是安慰剂。,0.4,"['placebo', 'active', 'medical treatment', 'unaware', 'and']","['placebo', 'active']"
78,"at all clinic visits , patients were queried about missed medication doses , and medication counts were performed .",在所有门诊就诊时，都会询问患者是否漏服药物，并进行药物计数。,0.0,"['medication', 'clinic', 'all', 'and']",[]
79,patients in both groups received active omeprazole at a dose of 20 mg twice daily throughout the trial .,在整个试验期间，两组患者均接受每天两次 20 毫克剂量的活性奥美拉唑。,0.16666666666666666,"['active', 'trial', 'at', 'dose', 'in', 'twice']",['dose']
80,"after discontinuation , patients with contraindications to desipramine were declared to have treatment failure .",停药后，对地昔帕明有禁忌症的患者被宣布治疗失败。,0.6666666666666666,"['failure', 'treatment', 'after', 'with', 'have', 'to']","['failure', 'treatment', 'after', 'have']"
81,surgical Treatment Group,手术治疗组,0.5,"['surgical', 'treatment group']",['treatment group']
82,surgical treatment was laparoscopic Nissen fundoplication .,手术治疗为腹腔镜尼森胃底折叠术。,0.5,"['surgical', 'treatment']",['treatment']
83,heartburn medications were prohibited after fundoplication .,胃底折叠术后禁用胃灼热药物。,1.0,"['heartburn', 'after']","['heartburn', 'after']"
84,this article does not include all analyses and outcomes that were prespecified in the protocol and does not include any analyses or outcome measures that were not prespecified in the protocol .,本文不包括方案中预先指定的所有分析和结果，也不包括方案中未预先指定的任何分析或结果测量。,0.125,"['outcome', 'protocol', 'article', 'all', 'this', 'that', 'in', 'and']",['outcome']
85,"to keep the overall type I error at 0.05 for the null hypothesis , the alpha level for each of the three comparisons was adjusted with the use of the Hochberg method.25",为了将零假设的总体 I 类错误保持在 0.05，使用 Hochberg 方法调整了三个比较中每一个的 alpha 水平。 25,0.25,"['type', 'alpha', 'error', 'keep', 'null hypothesis', 'level', 'with', 'at', 'I', 'three', 'each', 'to']","['error', 'keep', 'level']"
