English,Chinese
the beneficial effects of both vitamin and garlic supplementation were seen later than those from H. pylori eradication .,['维生素和胡萝卜补充剂的有益效果比H.pylori消灭的效果更晚。']
"although the results reconfirm the benefit of H. pylori eradication at reducing gastric cancer incidence and mortality , the findings of the benefits of vitamin and garlic supplementation required longer observation to become apparent .","['虽然结果证实了H. pylori的消灭对减少胃癌的发病率和死亡率的好处,但维生素和胡萝卜补充的好处的发现需要更长的观察才能显而易见。']"
"the generalizability of the findings on supplementation may be limited , given that the study population had baseline nutritional deficiencies and a high risk for gastric cancer , but I would consider recommending a multivitamin for my patients at high risk for gastric cancer .","['关于补充剂的发现的普遍性可能有限,因为研究人口的基本营养缺陷和胃癌的风险很高,但我会考虑推荐一个多维生素给我的患者患胃癌的风险很高。']"
a large cohort study found higher rates of cancer in children who underwent computed tomography than in those who did not .,"['一项大型协调研究发现,在受计算 tomography 的儿童中,癌症的发病率高于未经计算的儿童中。']"
"concerns about the carcinogenic effects of radiation are largely based on data from atomic bomb survivors , and the effects of ionizing radiation used for medical imaging are less well studied .","['关于辐射的致癌作用的担忧主要是基于原子弹幸存者的数据,用于医学图像的离子辐射的效果不太好研究。']"
"to count as an exposure , diagnostic radiation had to have occurred two years before any cancer diagnosis .","['要计算为曝光,诊断辐射必须在任何癌症诊断之前发生两年。']"
"new cancers were diagnosed in 22,000 patients ( 0.02 % ) , including 1444 patients after radiation exposure ( 0.1 % ) .","['新的癌症被诊断为22000名患者(0.02%),其中1444名患者在辐射曝光后(0.1%)。']"
"after adjustment for age and sex , radiation exposure was associated with a relative risk of 1.64 for developing a new cancer .","['在年龄和性别调整后,辐射曝光与新癌症发育的相对风险为1.64相关。']"
"the highest risks were for myelodysplasia , leukemias , and breast , thyroid , and oral and pharyngeal cancers .","['最高的风险是甲状腺,乳腺,甲状腺和口腔和甲状腺癌。']"
"however , the overall risk of cancer was still very low , so when imaging is necessary , we should not hesitate to order it .","['然而,癌症的总风险仍然很低,所以当图像需要时,我们不应该犹豫地订购它。']"
"treatment with cool running water was associated with improved outcomes , especially when administered for at least 20 minutes .","['冷流水的治疗与改善结果有关,特别是当服用至少20分钟时。']"
recent evidence suggests that burns in adults heal better when treated with cool running water ( Burns 2019 ; 45 : 433 ; PLoS One 2016 ; 11 : e0147259 ) .,"['最近的证据表明,燃烧在成年人治疗时愈合更好(燃烧2019;45:433;PLoS One2016;11:e0147259)。']"
"to assess the effect of this treatment for pediatric burns , researchers queried an Australian burn center database that included structured interviews with patients and parents about first aid provided within 3 hours of injury , prior to burn center assessment .","['为了评估这种治疗对儿科烧伤的影响,研究人员询问了澳大利亚烧伤中心的数据库,其中包括与患者和父母的结构化采访,关于在伤害后3小时内提供的第一援助,在烧伤中心的评估之前。']"
"patients with friction , electrical , and chemical burns as well as those with missing data were excluded .",['被排除患有震动、电气和化学燃烧的患者以及缺乏数据的患者。']
"although observational , this study provides fairly convincing evidence that treatment of pediatric burns with cool running water as soon as possible improves important clinical outcomes .","['虽然观察性,但这项研究提供了相当令人信服的证据,儿童烧伤的治疗用冷流水尽快改善重要临床结果。']"
"the authors note that durations longer than 20 minutes have not been shown to provide additive benefit and could be harmful , although that was not tested in this study .","['作者指出,超过20分钟的持续时间没有被证明提供添加益处,并且可能有害,尽管这项研究没有测试。']"
"HbA1c was averaged over time for each patient ( mean HbA1c level for the cohort , 8.0 % ) .",['HbA1c 是每個患者的時間平均值(每個患者的 HbA1c 水平平均值為 8.0 % )。']
"thus , the authors suggest that an HbA1c target of 6.5 % to 6.9 % is reasonable .","['因此,作者建议一个HbA1c目标为6.5%至6.9%是合理的。']"
"no ; benefits will outweigh risks for many menopausal patients who , through discussion of research findings and shared decision making , can make informed choices about HT use .","['好处将超越许多更年期患者的风险,通过讨论研究结果和共享决策,可以做出关于HT使用的有信息的选择。']"
hormone therapy ( HT ) is the most effective treatment for bothersome menopausal vasomotor symptoms .,['荷尔蒙治疗(HT)是最有效的治疗缓慢的更年期血管症状。']
both regimens raised risk for stroke and venous thromboembolism but lowered risk for fractures and diabetes .,"['两种饮食都增加了中风和血管肿瘤的风险,但减少了裂缝和糖尿病的风险。']"
"although observational studies over the past several decades have linked HT to increased breast cancer risk , the specific associations with HT formulation , route of delivery , and duration have been poorly studied .","['虽然过去几十年的观测研究将HT与乳腺癌风险增加有关,但与HT的具体组成、分娩路径和持续时间的具体联系已被研究不佳。']"
all systemic HT formulations ( including those using oral conjugated equine estrogens or estradiol or transdermal estradiol ) were associated with excess risk for breast cancer .,['所有系统的HT配方(包括使用口服合并的乙<unk>雌激素或 estradiol或 transdermal estradiol)都与乳腺癌的过度风险有关。']
type of progestogen did not appear to affect these associations .,['这种类型的蛋白质似乎不会影响这些组合。']
vaginal estrogen was not associated with increased risk .,['阴道雌激素与增加风险无关。']
"assuming the reported associations are causal , the authors estimated the absolute risk for breast cancer up to age 70 .","['假设报告的协会是因果性的,作者估计到70岁之前患乳腺癌的绝对风险。']"
"at 10 years of HT use , risks were approximately twice that at 5 years .","['在使用10年HT时,风险大约是5年时的两倍。']"
"for EPT , both the randomized WHI trial and this new Lancet analysis of observational data indicated an increased risk for breast cancer .","['对于EPT,无论是随机的WHI测试还是新的Lancet观测数据分析,都表明乳腺癌的风险增加。']"
could the excess risk found in observational studies be exaggerated due to inherent limitations of the study design ?,['在观察研究中发现的过度风险是否会由于研究设计的本质限制而被夸张?']
"in contrast , in the WHI trial ( and in most randomized trials of HT ) , both users and nonusers underwent uniformly standardized mammographic screening .","['相反,在WHI试验(和大多数随机试验的HT)中,用户和未使用者都接受了均匀标准化的乳房筛查。']"
"thus , the excess breast cancer risk in observational studies could reflect increased mammographic detection of nonlethal cancers .","['因此,在观测研究中,乳腺癌的过度风险可能会反映非乳腺癌的增加乳腺癌检测。']"
"accordingly , one advantage that observational studies have over randomized trials ( usually limited to 5 − 7 years of treatment ) is their ability to assess extended use .","['因此,观察研究对随机试验(通常限于5～7年的治疗)的一个优点是它们能够评估延长使用。']"
"understandably , women are often concerned about breast cancer risk as they make decisions about HT ; however , such decisions should be guided by the big picture .","['可以理解的,女性经常担心乳腺癌的风险,因为他们做出关于HT的决定;但是,这样的决定应该由大图像引导。']"
"on an absolute scale , many of the risks associated with HT are modest .","['在绝对范围内,与HT相关的许多风险是微不足道的。']"
the largest hazard ratio associated with HT use corresponds to an elevated risk for venous thromboembolism - and using transdermal rather than oral estrogen appeared to attenuate this risk .,"['与HT使用相关的最大风险比例相当于血管血管肿瘤的风险增加,而使用跨皮质而不是口服雌激素似乎会减轻这种风险。']"
"for many women , risks associated with HT are offset by reductions in symptoms , improved quality of life , and benefits in other health outcomes , such as fractures .","['对于许多妇女来说,与HT相关的风险是由症状的减少、生活质量的改善以及其他健康结果的好处,如骨折来补偿的。']"
"the net effects of HT are most favorable for recently menopausal women who have moderate to severe vasomotor symptoms and low or average risks for breast cancer , cardiovascular disease , and venous thromboembolism .","['HT的净效应最有利于最近更年期妇女,患有适度至严重的血管发作症状,乳腺癌、心血管疾病和阴道血管肿瘤的风险较低或平均。']"
"in sum , women deserve reliable information in order to make informed decisions - aligned with their personal preferences - on whether the potential benefits of HT are likely to outweigh the potential risks .","['总的来说,妇女应获得可靠的信息,以便根据自己的个人偏好做出有意识的决定,关于HT的潜在好处是否可能超越潜在的风险。']"
"the primary outcome was treatment success , defined as a decrease of 50 % or more in the Gastroesophageal Reflux Disease ( GERD ) -Health Related Quality of Life score ( range , 0 to 50 , with higher scores indicating worse symptoms ) at 1 year .","['初步结果是治疗成功,定义为Gastroesophageal Reflux Disease(GERD) -Health Related Quality of Life Score(范围,0至50,高得分表明症状恶化)的50%或以上下降1年。']"
"a total of 366 patients ( mean age , 48.5 years ; 280 men ) were enrolled .",['共有366名患者(平均年龄、48.5岁、280名男性)被注册。']
the remaining 78 patients underwent randomization .,['其余78名患者遭到随机化。']
"the difference in the incidence of treatment success between the active medical group and the control medical group was 16 percentage points ( 95 % confidence interval , − 5 to 38 ; P = 0.17 ) .","['活跃医疗组和控制医疗组之间的治疗成功率差异为16个百分点(95%的信任间隔, − 5 至 38; P = 0.17)。']"
"for that highly selected subgroup , surgery was superior to medical treatment . ( Funded by the Department of Veterans Affairs Cooperative Studies Program ; ClinicalTrials.gov number , NCT01265550 . )","['对于这个高度选择的子组,手术优于医疗治疗(由退休人员事务合作研究计划资助;ClinicalTrials.gov号,NCT01265550。']"
"in the United States , approximately 20 % of adults regularly have symptoms of gastroesophageal reflux disease ( GERD ) , 1 and annual costs for managing GERD exceed $ 12 billion.2","['在美国,大约20%的成年人经常患有胃血管流感疾病(GERD)的症状,1和管理GERD的年度成本超过12亿美元。']"
PPIs are often continued despite inadequate symptom relief.11,"['PPI经常持续,尽管症状缓解不够。']"
"alternatively , for patients with reflux hypersensitivity , surgical reduction of reflux might not relieve symptoms generated by a hypersensitive esophagus .","['换句话说,对于患有过敏的患者,过敏的手术减少可能不会缓解由过敏性<unk>疹引起的症状。']"
"surgeons are reluctant to rely on it to select patients for fundoplication , generally preferring traditional esophageal pH monitoring for that purpose.21","['外科医生拒绝依赖于选择病人进行补贴,一般偏好传统的尿液pH监测。']"
this trial was approved by the Veterans Affairs ( VA ) central institutional review board .,['该审判由维特兰事务中央机构审计委员会(VA)批准。']
"the authors vouch for the completeness and accuracy of the data and for the fidelity of the trial to the protocol , available with the full text of this article at NEJM.org .","['作者保证数据的完整性和准确性,以及对本议定书的审判忠诚性,可在NEJM.org上提供本文的完整文本。']"
prerandomization Trial Procedures,['预先审判程序']
all patients who were referred to VA gastroenterology clinics for heartburn refractory to PPIs were screened ( Figure 1 ) .,['所有被转移到 VA 胃肠道诊所的病人对心燃解体的 PPI 进行了检查(图 1 )。']
"initial slow recruitment of patients resulted in intratrial changes to the protocol , including revised power calculations . ( for details on prerandomization trial procedures , randomization , intratrial changes to the protocol , and the statistical analysis , see the Supplementary Appendix , available at NEJM.org. )","['患者的初始缓慢招聘导致协议的内分子变化,包括修订的功率计算(关于预分测试程序、随机化、内分子协议的变化以及统计分析的详细信息,请参见附件,可在NEJM.org上找到)。']"
medical Treatment Groups,['医疗治疗组']
investigators and patients were unaware of whether medical treatment was active or placebo .,['研究人员和患者不知道医疗治疗是否活跃或 placebo。']
"at all clinic visits , patients were queried about missed medication doses , and medication counts were performed .","['在所有临床访问中,患者被问及错过的药物剂量,并进行药物计算。']"
patients in both groups received active omeprazole at a dose of 20 mg twice daily throughout the trial .,['两组患者在试验期间每天服用20毫克的活性 omeprazole。']
"after discontinuation , patients with contraindications to desipramine were declared to have treatment failure .","['在中断后,患有抗示剂的患者被告知患有治疗失败。']"
surgical Treatment Group,['外科治疗小组']
surgical treatment was laparoscopic Nissen fundoplication .,['手术治疗是Laparoscopic Nissen fundoplication。']
heartburn medications were prohibited after fundoplication .,['心燃药物被禁止在基金投注后。']
this article does not include all analyses and outcomes that were prespecified in the protocol and does not include any analyses or outcome measures that were not prespecified in the protocol .,"['本条不包括在议定书中预定的所有分析和结果,也不包括在议定书中未预定的任何分析或结果措施。']"
"to keep the overall type I error at 0.05 for the null hypothesis , the alpha level for each of the three comparisons was adjusted with the use of the Hochberg method.25","['为了在零假设中保持总类型 I 错误为 0.05,每个三种比较的 alpha 水平通过使用 Hochberg 方法进行调整。']"
"we used SAS software , version 9.4 ( SAS Institute ) , for all analyses .","['我们使用SAS软件,版本 9.4(SAS研究所),用于所有分析。']"
prerandomization PROCEDURE EXCLUSIONS,['提前排除程序']
"a revised power calculation called for 108 randomly assigned patients , but enrollment was capped at 78 solely because of funding limitations .","['一个修订的电力计算呼吁108随机分配的病人,但注册被抓到78仅因为融资限制。']"
randomly ASSIGNED PATIENTS,['随机注册的病人']
"after trial completion , review of primary data collection forms revealed discrepancies in eligibility criteria data for 5 randomly assigned patients , which raised uncertainty about whether these patients met all eligibility criteria .","['试验完成后,初级数据收集表格的审查揭示了5名随机分配的患者资格标准数据的差异,这引起了对这些患者是否符合所有资格标准的不确定性。']"
analyses that excluded these 5 patients were similar to our primary analyses ( see the Supplementary Appendix ) .,['排除这些5名患者的分析与我们的初级分析相似(参见附件)。']
"the relative risk of treatment success was 2.38 ( 95 % CI , 1.20 to 4.71 ) for surgery versus active medical treatment , 5.78 ( 95 % CI , 1.93 to 17.31 ) for surgery versus control medical treatment , and 2.43 ( 95 % CI , 0.71 to 8.35 ) for active medical treatment versus control medical treatment ( unadjusted comparisons ) .",['治疗成功的相对风险为2.38(95% CI、1.20至4.71 )对手术对活性医疗治疗、5.78(95% CI、1.93至17.31 )对手术对控制医疗治疗、和2.43(95% CI、0.71至8.35 )对活性医疗治疗对控制医疗治疗(不调整的比较)。']
the incidence of success in the surgery group was 71 % among the 14 patients with reflux hypersensitivity and 62 % among the 13 with abnormal acid reflux .,['在手术组中成功的发病率为14名患有过敏的患者中71%和13名患有异常酸过敏的患者中62%。']
"there were five serious adverse events in 4 patients in the surgery group , four serious adverse events in 4 patients in the active medical group , and five serious adverse events in 3 patients in the control medical group ( Table S3 ) .","['在手术组中有4名患者发生5件严重的副作用,在活跃医疗组中有4名患者发生4件严重的副作用,在控制医疗组中有3名患者发生5件严重的副作用。']"
"one surgical patient had a herniated Nissen fundoplication that resulted in repeat surgery complicated by postoperative pneumonia ; recovery was complete , and repeat surgery successfully controlled heartburn .","['一名外科病人患有麻醉的尼森基金,结果是由手术后肺炎复杂的重复手术;恢复完成,并重复手术成功控制心燃。']"
there were no deaths .,['没有死亡。']
"in that highly selected group , the incidence of treatment success with laparoscopic Nissen fundoplication at 1 year ( 67 % ) was significantly superior to that with active medical treatment ( 28 % ) or control medical treatment ( 12 % ) .","['在这个精选的群体中,在1年(67%)的拉帕罗斯科尼森药物治疗成功率显著高于活性医疗治疗(28%)或控制医疗治疗(12%)的成功率。']"
"first , trial patients were given explicit instructions to take omeprazole 30 minutes before meals .","['首先,试验患者被明确指示在晚餐前30分钟服用 omeprazole。']"
this is important because PPIs bind only to gastric proton pumps that are actively secreting acid .,"['这很重要,因为PPI仅连接到活跃分泌酸的胃<unk>泵。']"
"fewer than 10 % of those pumps are active during fasting , whereas approximately 70 % are active when stimulated by meals.26","['在禁食期间,不到10%的这些泵是活跃的,而在食物刺激时,约70%是活跃的。']"
"consequently , PPIs are most effective when taken before meals .","['因此,PPI在晚餐前服用时最有效。']"
"second , patients taking PPIs other than omeprazole at trial entry were switched to omeprazole .","['其次,在试验入口时服用非 omeprazole PPI 的患者被转换为 omeprazole。']"
"relative potencies of different PPIs vary widely , 27 and individual patients can exhibit considerable variability in response to different PPIs.28","['不同PPI的相对强度广泛不同,27个患者在不同PPI的反应中可能显著变化。']"
"many patients would not complete this rigorous evaluation , and among those who did , the cause of heartburn in most of them was not GERD .","['许多患者不会完成这项严格的评估,并且在那些这样做的人中,心脏病发作的原因在大多数人中不是GERD。']"
"our finding that reflux hypersensitivity can respond to fundoplication is noteworthy because reflux hypersensitivity is considered a functional disorder , which might not be expected to improve with a procedure that eliminates reflux without altering abnormal esophageal pain perception.10","['我們的發現,反流過敏性可以回應 fundoplication 是值得注意的,因為反流過敏性被認為是一個功能障礙,這可能不會被預計改善一個程序,消除反流,而不改變異常的尿道疼痛感知。']"
"for our surgical patients , the incidence of treatment success was 71 % among the 14 with reflux hypersensitivity and 62 % among the 13 with abnormal acid reflux .","['对于我们的手术患者,治疗成功的发病率为14人中有过敏性过敏性过敏性过敏性过敏性过敏性过敏性过敏性过敏性过敏性过敏性过敏性过敏性过敏性过敏性过敏性过敏性过敏性过敏性过敏性过敏性过敏性过敏。']"
"PPIs are inactivated through the hepatic cytochrome P450 isoenzyme CYP2C19 , and CYP2C19 mutations can influence PPI inactivation rates and clinical efficacy.39","['PPI 通过肝细胞染色素 P450 以生素 CYP2C19 被禁活,而 CYP2C19 突变可能会影响 PPI 禁活率和临床有效性。']"
limitations of our trial include its relatively small sample size and predominance of white men ( reflecting the veteran patient population ) .,['我们试验的限制包括其相对较小的样品大小和白人占主导地位(反映了退休患者人口)。']
another limitation involves the intratrial protocol amendments required to enable trial completion .,"['另一个限制包括在内议定书中所需的修正案,以便审判完成。']"
"overly restrictive entry criteria that limit trial enrollment , generalizability , and completion are a common problem in trials involving patients with functional gastrointestinal disorders.40,41",['限制试验登记、通用性和完成的过度限制性入门标准是涉及功能性肠道障碍患者的试验中常见问题。']
"consequently , we amended the protocol to allow the entry of patients with contraindications to desipramine .","['因此,我们修改了议定书,以便允许患有抗指示的患者入院。']"
"we also amended power calculations to detect only large differences between medical and surgical treatments , reasoning that physicians would not recommend surgery unless it were considerably more effective than medical therapy .","['我们还修改了功率计算,以检测医学和手术治疗之间只有大差异,认为医生不会推荐手术,除非它比医学治疗更有效。']"
"in that highly selected group , laparoscopic Nissen fundoplication was significantly superior to medical therapy .","['在这个精选的群体中,Laparoscopic Nissen fundoplication 显著高于医学治疗。']"
the relative merits of ticagrelor as compared with prasugrel in patients with acute coronary syndromes for whom invasive evaluation is planned are uncertain .,"['与Prasugrel相比,Ticagrelor的相对价值在患有急性冠状综合征的患者中不确定。']"
"the primary end point was the composite of death , myocardial infarction , or stroke at 1 year .","['主要的终点是死亡的组成,心脏病发作,或1年的中风。']"
a major secondary end point ( the safety end point ) was bleeding .,['一个主要的次要终点(安全终点)是出血。']
a total of 4018 patients underwent randomization .,['共有4018名患者遭到随机化。']
"the respective incidences of the individual components of the primary end point in the ticagrelor group and the prasugrel group were as follows : death , 4.5 % and 3.7 % ; myocardial infarction , 4.8 % and 3.0 % ; and stroke , 1.1 % and 1.0 % .",['图克格勒群体和图克格勒群体的主要终点组成部分的分别发病率如下:死亡、4.5%和3.7%、心脏病发作、4.8%和 3.0%、中风、1.1%和1.0%。']
"definite or probable stent thrombosis occurred in 1.3 % of patients assigned to ticagrelor and 1.0 % of patients assigned to prasugrel , and definite stent thrombosis occurred in 1.1 % and 0.6 % , respectively .","['确定的或可能的<unk>血病发生在Ticagrelor患者的1.3%和Prasugrel患者的1.0%中,而确定的<unk>血病发生在1.1%和0.6%分别。']"
"major bleeding ( as defined by the Bleeding Academic Research Consortium scale ) was observed in 5.4 % of patients in the ticagrelor group and in 4.8 % of patients in the prasugrel group ( hazard ratio , 1.12 ; 95 % CI , 0.83 to 1.51 ; P = 0.46 ) .","['主要出血(根据血液学术研究协会规模定义)被观察到 5.4% 的患者在 ticagrelor 群体和 4.8% 的患者在 prasugrel 群体(风险比例, 1.12 ; 95% CI, 0.83 到 1.51 ; P = 0.46 ) 。']"
"however , data are lacking on the relative merits of treatment for 1 year with ticagrelor as compared with prasugrel in patients with acute coronary syndromes for whom invasive evaluation is planned .","['然而,与Prasugrel相比,在患有急性冠状综合征的患者中,缺乏对1年的Ticagrelor治疗的相对益处的数据,其中计划进行侵入性评估。']"
"in these patients , ticagrelor is usually administered as pretreatment before diagnostic angiography , 4 but prasugrel is administered only after the coronary anatomy has been assessed by means of diagnostic angiography , 5 since no advantage has been observed when prasugrel is used as pretreatment.9","['在这些患者中,Ticagrelor通常在诊断安吉格拉之前作为预治疗,4但Prasugrel仅在通过诊断安吉格拉评估冠状解剖后服用,5因为当Prasugrel作为预治疗时没有任何好处。']"
"one strategy is based on ticagrelor , and the other is based on prasugrel .","['一个策略是基于ticagrelor,另一个是基于 prasugrel。']"
the design and rationale of the trial have been published previously.10,['审判的草案和合理性已经公布10']
"the first and last authors , with input from the steering committee , designed the trial .","['第一和最后的作者,由董事会提交,设计了审判。']"
"the Intracoronary Stenting and Antithrombosis Research Center , which is affiliated with Deutsches Herzzentrum München in Munich , Germany , was the data coordinating center .","['Intracoronary Stenting and Antithrombosis Research Center 与德国慕尼黑的 Deutsches Herzzentrum München 附属,是数据协调中心。']"
data analysis was performed by the trial statistician .,['数据分析由调查统计学家进行。']
"the first and last authors and the trial statistician vouch for the accuracy and completeness of the data and for the fidelity of the trial to the protocol , which is available with the full text of this article at NEJM.org .","['第一和最后的作者和审查统计学家为数据的准确性和完整性以及审查对议定书的忠诚度,该议定书可在NEJM.org上提供本文的完整文本。']"
the first author wrote the first draft of the manuscript .,['第一位作者写了手稿的第一个草案。']
all the authors agreed to submit the manuscript for publication .,['所有作者都同意将手稿提交出版。']
the funding institutions were not involved in writing the manuscript or interpreting the results .,['资助机构不参与编写手稿或解释结果。']
commercially available ticagrelor or prasugrel tablets were prescribed by the treating physician and purchased by the patients .,['商用可用的Ticagrelor或Prasugrel药片由治疗医生处方并由患者购买。']
"a detailed list of participating centers and investigators is provided in the Supplementary Appendix , available at NEJM.org .","['参与中心和调查人员的详细列表在附加附件中提供,可在NEJM.org上找到。']"
exclusion criteria were determined predominantly from the summary of medical product characteristics of the trial drugs .,['排除标准主要由试用药物的医疗产品特征总结确定。']
the detailed exclusion criteria are listed in the Supplementary Appendix .,['详细的排除标准在附件中列出。']
"patients who met all the inclusion criteria and none of the exclusion criteria were randomly assigned in consecutive order to either ticagrelor or prasugrel , with a randomization ratio of 1 : 1 .","['满足所有包容标准的患者,并且没有排除标准的患者随机分别分配到Ticagrelor或Prasugrel,随机分配比为1:1。']"
time zero was defined as the time of randomization .,['零时间被定义为随机化时间。']
"randomly permuted block sizes ( of four , six , or eight ) were used in each stratum .",['随机转换的区块大小(四、六、八)在每个层中使用。']
therapy with ticagrelor was started at a loading dose of 180 mg and continued at a maintenance dose of 90 mg twice daily .,"['用Ticagrelor治疗开始于180毫克的负载剂量,并在90毫克的维持剂量继续,每天两次。']"
patients who were assigned to ticagrelor received the loading dose as soon as possible after randomization .,['被分配到Ticagrelor的患者在随机化后尽快获得充电剂量。']
therapy with prasugrel was started at a loading dose of 60 mg and continued at a maintenance dose of 10 mg once per day .,"['用 prasugrel 治疗开始于 60 毫克的负载剂量,并在 10 毫克的维持剂量每日进行一次。']"
a reduced maintenance dose of 5 mg daily was recommended in patients who were 75 years of age or older and in those who had a body weight of less than 60 kg .,"['在75岁及以上的患者和体重低于60公斤的患者中,建议每天减少5毫克的维持剂量。']"
"in the prasugrel group , timing of the initiation of the trial drug depended on the clinical presentation .","['在 prasugrel 组中,试验药物的启动时间取决于临床呈现。']"
trial END POINTS AND DEFINITIONS,['审判终点和定义']
"the primary end point was the composite of death , myocardial infarction , or stroke at 1 year after randomization .","['主要的终点是死亡的组成,心脏病发作,或1年随机化后的中风。']"
a detailed description of the end points is included in the Supplementary Appendix .,['最终点的详细描述在附件中包含。']
"in addition , 100 % of source data were checked for at least 10 % of patients in all centers .","['此外,在所有中心至少有10%的病人检查了100%的源数据。']"
"the null hypothesis of the trial states that there is no difference between ticagrelor and prasugrel with respect to the treatment effect in patients with acute coronary syndromes for whom invasive evaluation is planned ( hazard ratio , 1 ) .","['试验的零假设表明,对于患有急性冠状综合征的患者的治疗效应,Ticagrelor和Prasugrel之间没有差异(风险比例,1)。']"
cumulative incidence functions were computed for end points other than death to account for competing risks .,"['累积影响函数被计算为死亡以外的终点,以计算竞争风险。']"
effect estimates of the secondary end points are presented along with corresponding 95 % confidence intervals .,['二级终点的效应估计与相应的95%信任间隔一起呈现。']
the widths of the intervals are not adjusted for multiple comparisons because of the exploratory character of these analyses .,['间隔的宽度因这些分析的探索性质而不适用于多个比较。']
"patients were evaluated from randomization until death , withdrawal of consent , or the last contact date .","['患者从随机化到死亡,撤销同意,或最后的接触日期被评估。']"
