English,Chinese
"among 576 patients participating , 533 ( 93 % ) had a reliable TE measurement .",在576位参与者中，533位（93%）拥有可靠的TE测量结果。
"significant liver disease was found in 12 % of patients , nearly one third of whom had obesity as their only risk factor .",12%的病人出现了重大的肝脏疾病，其中近三分之一的人仅有肥胖作为他们的唯一风险因素。
"also , importantly , not only was obesity or diabetes each individually a driver of significant liver disease , but their combined presence showed a synergistic effect on prevalence .",此外，重要的是，肥胖或糖尿病不仅本身就是导致严重肝病的因素，而且它们的共存显示出对发病率的协同效应。
"Helicobacter pylori is a known risk factor for gastric cancer , and its eradication may be protective against the disease .","Helicobacter pylori is a known risk factor for gastric cancer , and its eradication may be protective against the disease .

中文：
幽门螺杆菌是胀胃癌的已知风险因素，消除它可能有助于预防这种疾病。"
both garlic and vitamin supplementation may also be protective in populations with nutritional deficiencies .,在营养不良的人群中，大蒜和维生素补充都可能具有防护作用。
"the 2258 participants with H. pylori infection were assigned in a 2 × 2 × 2 factorial fashion to H. pylori eradication treatment , supplementation with vitamins ( vitamins C , E , and selenium ) , or supplementation with garlic ( extract and oil ) or to placebos for each .","2258 participants infected with H. pylori were assigned to H. pylori eradication treatment, supplementation with vitamins (vitamins C, E, and selenium), or supplementation with garlic (extract and oil) or to placebos for each in a 2 × 2 × 2 factorial fashion."
the 1107 participants without H. pylori infection were assigned in a 2 × 2 factorial fashion to vitamin or garlic supplementation or to placebos for each .,将1107名患者分成两组，一组接受维生素补充，一组接受大蒜补充，每组各自再分为服用药物和安慰剂两组。
"H. pylori eradication reduced the incidence of gastric cancer ( odds ratio , 0.48 ) and mortality from gastric cancer ( adjusted hazard ratio , 0.62 ) .","H. pylori eradication reduced the incidence of gastric cancer ( odds ratio , 0.48 ) and mortality from gastric cancer ( adjusted hazard ratio , 0.62 ) .

Chinese:

H. pylori根除有助于减少胃癌的发病率(赔率比为0.48)和死亡率(调整后的危险比为0.62)。"
"vitamin supplementation also decreased the incidence of gastric cancer ( OR , 0.64 ) and mortality from gastric cancer ( aHR , 0.48 ) .","vitamin supplementation also decreased the incidence of gastric cancer (OR, 0.64) and mortality from gastric cancer (aHR, 0.48)."
"garlic supplementation did not reduce gastric cancer incidence but did reduce mortality from gastric cancer ( aHR , 0.66 ) .","garlic supplementation did not reduce gastric cancer incidence but did reduce mortality from gastric cancer ( aHR , 0.66 ) .

Chinese:

大蒜补充剂并未减少胃癌发病率，但却可以减少胃癌死亡率（aHR，0.66）。"
the beneficial effects of both vitamin and garlic supplementation were seen later than those from H. pylori eradication .,在H. pylori清除后，维生素和大蒜补充的有益效果才开始显现。
"although the results reconfirm the benefit of H. pylori eradication at reducing gastric cancer incidence and mortality , the findings of the benefits of vitamin and garlic supplementation required longer observation to become apparent .",尽管结果重申了除去H. pylori对减少胃癌发病率和死亡率的益处，但维生素和大蒜补充的益处需要更长时间的观察才能显现出来。
"the generalizability of the findings on supplementation may be limited , given that the study population had baseline nutritional deficiencies and a high risk for gastric cancer , but I would consider recommending a multivitamin for my patients at high risk for gastric cancer .","给高胃癌风险的患者推荐多种维生素补充剂的可推广性可能有限，因为研究人群在营养方面存在基线缺乏，并且风险较高，但我会考虑为我的高风险患者推荐多种维生素。

Chinese:

鉴于研究人群在营养方面存在基线缺乏，并且风险较高，给高胃癌风险的患者推荐多种维生素补充剂的可推广性可能有限，但我会考虑为我的高风险患者推荐多种维生素。"
a large cohort study found higher rates of cancer in children who underwent computed tomography than in those who did not .,一项大型队列研究发现，接受过CT扫描的儿童患癌症的比例要高于那些未接受CT扫描的儿童。
"concerns about the carcinogenic effects of radiation are largely based on data from atomic bomb survivors , and the effects of ionizing radiation used for medical imaging are less well studied .",关于辐射致癌作用的担忧主要基于原子弹幸存者的数据，而用于医疗成像的带电粒子辐射的影响则不是很好地研究。
"to count as an exposure , diagnostic radiation had to have occurred two years before any cancer diagnosis .",被认为是一次暴露，诊断性辐射必须在任何癌症诊断前两年发生。
"new cancers were diagnosed in 22,000 patients ( 0.02 % ) , including 1444 patients after radiation exposure ( 0.1 % ) .","新的癌症在22,000名病人身上被诊断出来（0.02%），其中1444名病人是在放射线暴露后被诊断出来的（0.1%）。"
"after adjustment for age and sex , radiation exposure was associated with a relative risk of 1.64 for developing a new cancer .",根据年龄和性别调整后，辐射暴露与开发新癌症相关的相对风险为1.64。
"the highest risks were for myelodysplasia , leukemias , and breast , thyroid , and oral and pharyngeal cancers .",最高的风险是脊髓增生异常症、白血病和乳腺癌、甲状腺癌和口腔和咽癌。
"however , the overall risk of cancer was still very low , so when imaging is necessary , we should not hesitate to order it .",然而，癌症的整体风险仍然很低，因此，当必须进行成像时，我们不应犹豫不决。
"treatment with cool running water was associated with improved outcomes , especially when administered for at least 20 minutes .",Cooling the affected area with running water for at least 20 minutes is associated with improved outcomes.
recent evidence suggests that burns in adults heal better when treated with cool running water ( Burns 2019 ; 45 : 433 ; PLoS One 2016 ; 11 : e0147259 ) .,最近的证据表明，成人的烧伤在用冷水冲洗后会更好地愈合（Burns 2019；45：433；PLoS One 2016；11：e0147259）。
"to assess the effect of this treatment for pediatric burns , researchers queried an Australian burn center database that included structured interviews with patients and parents about first aid provided within 3 hours of injury , prior to burn center assessment .","为了评估这种治疗方法对儿童烧伤的影响，研究人员查询了一个包含有关受伤3小时内提供的急救、在烧伤中心评估之前的结构化采访患者和家长的澳大利亚烧伤中心数据库。

Chinese:

为了评估这种治疗方法对儿童烧伤的影响，研究人员查询了一个包含有关受伤3小时内提供的急救、在烧伤中心评估之前的结构化采访患者和家长的澳大利亚烧伤中心数据库。"
"patients with friction , electrical , and chemical burns as well as those with missing data were excluded .","Patients with friction, electrical, and chemical burns as well as those with missing data were excluded.

Chinese:

摩擦伤、电伤、化学灼伤患者以及缺失数据的患者被排除在外。"
"although observational , this study provides fairly convincing evidence that treatment of pediatric burns with cool running water as soon as possible improves important clinical outcomes .","Although observational, this study provides fairly convincing evidence that treatment of pediatric burns with cool running water as soon as possible improves important clinical outcomes.

Chinese:

尽管是观察性的，这项研究相当有说服力地表明，尽早用冷水治疗儿童烧伤会改善重要的临床结局。"
"the authors note that durations longer than 20 minutes have not been shown to provide additive benefit and could be harmful , although that was not tested in this study .",研究作者指出，时长超过20分钟的持续时间并没有显示出额外的益处，可能会有害，尽管这项研究并没有对此进行测试。
"HbA1c was averaged over time for each patient ( mean HbA1c level for the cohort , 8.0 % ) .","HbA1c was averaged over time for each patient (mean HbA1c level for the cohort, 8.0%)."
"thus , the authors suggest that an HbA1c target of 6.5 % to 6.9 % is reasonable .",因此，作者建议HbA1c目标在6.5%到6.9%之间是合理的。
"no ; benefits will outweigh risks for many menopausal patients who , through discussion of research findings and shared decision making , can make informed choices about HT use .",没有证据表明，许多更年期患者的利益会超过使用激素治疗所涉及的风险。通过讨论研究结果和共同做出决策，这些患者可以对激素治疗做出明智的选择。
hormone therapy ( HT ) is the most effective treatment for bothersome menopausal vasomotor symptoms .,hormone therapy (HT) is the most effective treatment for bothersome menopausal vasomotor symptoms.
both regimens raised risk for stroke and venous thromboembolism but lowered risk for fractures and diabetes .,两种方案都会增加患中风和静脉血栓栓塞的风险，但降低了患骨折和糖尿病的风险。
"although observational studies over the past several decades have linked HT to increased breast cancer risk , the specific associations with HT formulation , route of delivery , and duration have been poorly studied .",尽管过去几十年来的观察性研究已经将女性激素与乳腺癌风险增加联系起来，但是具体与女性激素的配方、服用方式和持续时间的关联仍研究得不够透彻。
all systemic HT formulations ( including those using oral conjugated equine estrogens or estradiol or transdermal estradiol ) were associated with excess risk for breast cancer .,所有体系性应用黄体酮制剂（包括那些使用口服已配制的马雌酚醇或雌二醇或经皮雌二醇的制剂）与乳腺癌的风险增加有关。
type of progestogen did not appear to affect these associations .,"Type of progestogen did not appear to affect these associations.

Chinese:

类型的孕激素似乎不会影响这些关联。"
vaginal estrogen was not associated with increased risk .,vaginal estrogen was not associated with increased risk.
"assuming the reported associations are causal , the authors estimated the absolute risk for breast cancer up to age 70 .","Assuming the reported associations are causal, the authors estimated the absolute risk for breast cancer up to age 70.

Chinese:

如果报告的相关性是因果关系，作者估计了70岁以前乳腺癌的绝对风险。"
"at 10 years of HT use , risks were approximately twice that at 5 years .",在使用高纤维饮食10年后，风险大约是5年时的两倍。
"for EPT , both the randomized WHI trial and this new Lancet analysis of observational data indicated an increased risk for breast cancer .",对于EPT，随机的WHI试验和最新的《柳叶刀》观察数据分析都表明乳腺癌风险增加。
could the excess risk found in observational studies be exaggerated due to inherent limitations of the study design ?,观察研究中发现的风险过剩是否因为研究设计的固有局限而被夸大？
"in contrast , in the WHI trial ( and in most randomized trials of HT ) , both users and nonusers underwent uniformly standardized mammographic screening .",相反，在WHI试验（以及大多数随机化的女性激素治疗试验）中，使用者和不使用者都经历过统一标准化的乳房X光筛查。
"thus , the excess breast cancer risk in observational studies could reflect increased mammographic detection of nonlethal cancers .",因此，观察研究中的乳腺癌风险过高可能反映出非致命性癌症的增加。
"accordingly , one advantage that observational studies have over randomized trials ( usually limited to 5 − 7 years of treatment ) is their ability to assess extended use .",因此，观察研究相对于随机试验的一个优势在于它们可以评估长期使用。
"understandably , women are often concerned about breast cancer risk as they make decisions about HT ; however , such decisions should be guided by the big picture .","understandably, women are often concerned about breast cancer risk as they make decisions about HT; however, such decisions should be guided by the big picture.

Chinese:

理解地，女性在做出激素替代疗法决定时，经常会担心乳腺癌的风险；然而，这类决定应该由总体情况来指导。"
"on an absolute scale , many of the risks associated with HT are modest .",在绝对尺度上，许多与高热相关的风险是温和的。
the largest hazard ratio associated with HT use corresponds to an elevated risk for venous thromboembolism - and using transdermal rather than oral estrogen appeared to attenuate this risk .,最大的危险比与使用激素替代疗法相关联的是增加了血栓形成的风险，而使用经皮而不是口服雌激素似乎能够减轻这种风险。
"for many women , risks associated with HT are offset by reductions in symptoms , improved quality of life , and benefits in other health outcomes , such as fractures .",对于许多女性来说，使用激素替代疗法所带来的风险被其他健康结果所抵消，比如说症状的减轻、生活质量的提高以及骨折的预防。
"the net effects of HT are most favorable for recently menopausal women who have moderate to severe vasomotor symptoms and low or average risks for breast cancer , cardiovascular disease , and venous thromboembolism .",综合来看，黑松油最有利于近期退热的女性，她们有中度至重度血管扩张症状，且乳腺癌、心血管疾病和静脉血栓形成风险较低或中等。
"in sum , women deserve reliable information in order to make informed decisions - aligned with their personal preferences - on whether the potential benefits of HT are likely to outweigh the potential risks .",总而言之，妇女需要可靠的信息来做出明智的决定，是否应该考虑激素替代疗法的潜在好处大于潜在风险。
"the primary outcome was treatment success , defined as a decrease of 50 % or more in the Gastroesophageal Reflux Disease ( GERD ) -Health Related Quality of Life score ( range , 0 to 50 , with higher scores indicating worse symptoms ) at 1 year .",主要结果是治疗成功，定义为在1年内胃食管反流病（GERD）相关生活质量评分（范围，0至50，较高分表示症状更差）下降50％或更多。
"a total of 366 patients ( mean age , 48.5 years ; 280 men ) were enrolled .",总共有366名病人（平均年龄48.5岁；280名男性）纳入本项研究。
the remaining 78 patients underwent randomization .,剩余的78名病人随机分配给了两组。
"the difference in the incidence of treatment success between the active medical group and the control medical group was 16 percentage points ( 95 % confidence interval , − 5 to 38 ; P = 0.17 ) .",在治疗成功率方面，有效医疗组与对照医疗组之间的差异为16个百分点（95%的置信区间，-5至38；P=0.17）。
"for that highly selected subgroup , surgery was superior to medical treatment . ( Funded by the Department of Veterans Affairs Cooperative Studies Program ; ClinicalTrials.gov number , NCT01265550 . )",对于那些经过精选的小组，手术比医疗治疗更有效。（由美国退伍军人事务部资助的合作研究计划；ClinicalTrials.gov 编号，NCT01265550。）
"in the United States , approximately 20 % of adults regularly have symptoms of gastroesophageal reflux disease ( GERD ) , 1 and annual costs for managing GERD exceed $ 12 billion.2",在美国，大约20%的成年人经常会出现胃食管反流病（GERD）的症状，而每年治疗GERD的费用超过120亿美元。
PPIs are often continued despite inadequate symptom relief.11,即便症状得不到有效缓解，人们也常常继续服用抑制剂。11
"alternatively , for patients with reflux hypersensitivity , surgical reduction of reflux might not relieve symptoms generated by a hypersensitive esophagus .","For patients with reflux hypersensitivity, surgical reduction of reflux might not relieve symptoms generated by a hypersensitive esophagus."
"surgeons are reluctant to rely on it to select patients for fundoplication , generally preferring traditional esophageal pH monitoring for that purpose.21","Surgeons are reluctant to rely on esophageal pH monitoring to select patients for fundoplication, preferring traditional methods instead.21"
this trial was approved by the Veterans Affairs ( VA ) central institutional review board .,这项试验经过了美国退伍军人事务部（VA）的中央机构审查委员会批准。
"the authors vouch for the completeness and accuracy of the data and for the fidelity of the trial to the protocol , available with the full text of this article at NEJM.org .",作者保证数据的完整性和准确性，并保证本实验符合可在NEJM.org上全文下载的协议。
prerandomization Trial Procedures,Pre-randomization trial procedures involve a process of selecting participants for a trial before randomization occurs. This process can help ensure that the trial is conducted fairly and that participants are not subjected to undue risks.
all patients who were referred to VA gastroenterology clinics for heartburn refractory to PPIs were screened ( Figure 1 ) .,所有被转诊至退伍军人事务部胃肠科门诊的病人，均接受了（见图1）的筛查。
"initial slow recruitment of patients resulted in intratrial changes to the protocol , including revised power calculations . ( for details on prerandomization trial procedures , randomization , intratrial changes to the protocol , and the statistical analysis , see the Supplementary Appendix , available at NEJM.org. )",首先缓慢的招募病人造成了对试验方案的内部变化，包括修订后的功效计算。（有关试验前程序、随机化、方案内部变化以及统计分析的详细信息，请参阅《新英格兰医学杂志》的补充附录。）
medical Treatment Groups,医疗治疗组
investigators and patients were unaware of whether medical treatment was active or placebo .,调查人员和病人不知道医疗治疗是否是有效的还是假的。
"at all clinic visits , patients were queried about missed medication doses , and medication counts were performed .",在所有的临床访谈中，我们都会问患者有没有遗漏药物剂量，并进行药物统计。
patients in both groups received active omeprazole at a dose of 20 mg twice daily throughout the trial .,两组患者均在整个试验期间每天服用有效剂量为20毫克的盐酸奥美拉唑。
"after discontinuation , patients with contraindications to desipramine were declared to have treatment failure .",在停止使用莫达非尼之后，那些对莫达非尼有禁忌症的患者被宣布治疗失败。
surgical Treatment Group,"surgical Treatment Group

Chinese:

手术治疗组"
surgical treatment was laparoscopic Nissen fundoplication .,手术治疗是腹腔镜尼森基底手术。
heartburn medications were prohibited after fundoplication .,消化不良药物在胃十二指肠吻合术后被禁止使用。
this article does not include all analyses and outcomes that were prespecified in the protocol and does not include any analyses or outcome measures that were not prespecified in the protocol .,这篇文章没有包括原始研究计划中所有的分析和结果，也没有包括任何原始研究计划中没有预先规定的分析或结果。
"to keep the overall type I error at 0.05 for the null hypothesis , the alpha level for each of the three comparisons was adjusted with the use of the Hochberg method.25",为了保持总体类型I误差在0.05以内，使用霍克伯格方法调整了三个比较的α水平。
"we used SAS software , version 9.4 ( SAS Institute ) , for all analyses .",我们使用的是SAS软件，版本9.4（SAS Institute），进行所有分析。
prerandomization PROCEDURE EXCLUSIONS,"prerandomization PROCEDURE EXCLUSIONS

Chinese:

随机化前程序排除"
"a revised power calculation called for 108 randomly assigned patients , but enrollment was capped at 78 solely because of funding limitations .",一项修订过的功率计算需要108名随机分配的病人，但仅仅出于资金限制，招募人数被限制在78人。
randomly ASSIGNED PATIENTS,随机分配病人
"after trial completion , review of primary data collection forms revealed discrepancies in eligibility criteria data for 5 randomly assigned patients , which raised uncertainty about whether these patients met all eligibility criteria .",在试验结束后，对主要数据收集表进行了审查，发现了5名随机分配病人资格标准数据的差异，这引起了对这些病人是否符合所有资格标准的不确定性。
analyses that excluded these 5 patients were similar to our primary analyses ( see the Supplementary Appendix ) .,excluded these 5 patients were similar to our primary analyses (see the Supplementary Appendix).
"the relative risk of treatment success was 2.38 ( 95 % CI , 1.20 to 4.71 ) for surgery versus active medical treatment , 5.78 ( 95 % CI , 1.93 to 17.31 ) for surgery versus control medical treatment , and 2.43 ( 95 % CI , 0.71 to 8.35 ) for active medical treatment versus control medical treatment ( unadjusted comparisons ) .",手术治疗成功的相对风险是2.38（95%置信区间[CI]，1.20至4.71），而对照医疗治疗的风险是5.78（95%CI，1.93至17.31），而积极医疗治疗对照医疗治疗的风险是2.43（95%CI，0.71至8.35）（未经调整的比较）。
the incidence of success in the surgery group was 71 % among the 14 patients with reflux hypersensitivity and 62 % among the 13 with abnormal acid reflux .,在14位返流过敏患者中，手术组的成功率为71%，在13位异常酸返流患者中为62%。
"there were five serious adverse events in 4 patients in the surgery group , four serious adverse events in 4 patients in the active medical group , and five serious adverse events in 3 patients in the control medical group ( Table S3 ) .",在手术组中，有5例严重不良事件发生在4名患者身上，在主动医疗组中，有4例严重不良事件发生在4名患者身上，而在对照医疗组中，有5例严重不良事件发生在3名患者身上（表S3）。
"one surgical patient had a herniated Nissen fundoplication that resulted in repeat surgery complicated by postoperative pneumonia ; recovery was complete , and repeat surgery successfully controlled heartburn .",一位外科病人的尼森肠系带松弛导致了复发手术，并且复发手术后患有肺炎。康复情况良好，复发手术成功控制了胃灼热感。
there were no deaths .,"There were no deaths.

Chinese: 没有人死亡。"
"in that highly selected group , the incidence of treatment success with laparoscopic Nissen fundoplication at 1 year ( 67 % ) was significantly superior to that with active medical treatment ( 28 % ) or control medical treatment ( 12 % ) .",在这个高度选择的群体中，手术治疗在第一年的成功率（67％）明显优于药物治疗（28％）或对照药物治疗（12％）。
"first , trial patients were given explicit instructions to take omeprazole 30 minutes before meals .",首先，试疗患者被明确指示在饭前30分钟服用omeprazole。
this is important because PPIs bind only to gastric proton pumps that are actively secreting acid .,这很重要，因为Ppi只能结合到正在分泌酸的胃部质子泵上。
"fewer than 10 % of those pumps are active during fasting , whereas approximately 70 % are active when stimulated by meals.26",排除禁食期间，不到10%的胰岛素泵被激活，而大约70%的胰岛素泵会被饭食刺激激活。26
"consequently , PPIs are most effective when taken before meals .",因此，最有效的PPI是在饭前服用。
"second , patients taking PPIs other than omeprazole at trial entry were switched to omeprazole .",第二，在试验开始时使用非omeprazole的PPI的患者被转换为omeprazole。
"relative potencies of different PPIs vary widely , 27 and individual patients can exhibit considerable variability in response to different PPIs.28",不同的PPI相对效力差异很大，27个个体患者对不同PPI的反应可能有很大差异。28
"many patients would not complete this rigorous evaluation , and among those who did , the cause of heartburn in most of them was not GERD .",许多病人不会完成这个严格的评估，而在那些做了评估的病人中，大多数人的胃灼热的原因并非胃食管反流病。
"our finding that reflux hypersensitivity can respond to fundoplication is noteworthy because reflux hypersensitivity is considered a functional disorder , which might not be expected to improve with a procedure that eliminates reflux without altering abnormal esophageal pain perception.10",我们发现胃酸回流过敏可以通过胃酸过敏症手术来治疗，这是值得注意的，因为胃酸回流过敏被认为是一种功能障碍，可能不会期望通过一个不改变异常食管疼痛感知的手术来改善。10
"for our surgical patients , the incidence of treatment success was 71 % among the 14 with reflux hypersensitivity and 62 % among the 13 with abnormal acid reflux .",对于我们的手术病人，对14名具有返流过敏症病人的治疗成功率为71％，对13名具有异常酸返流病人的治疗成功率为62％。
"PPIs are inactivated through the hepatic cytochrome P450 isoenzyme CYP2C19 , and CYP2C19 mutations can influence PPI inactivation rates and clinical efficacy.39","药物相互作用是通过肝脏细胞色素P450的同工酶CYP2C19来停止的，CYP2C19的突变会影响药物相互作用的停止速度和临床疗效。39

Chinese:
药物相互作用通过肝脏细胞色素P450同工酶CYP2C19来停止，CYP2C19突变会影响药物相互作用的停止速度和临床疗效。39"
limitations of our trial include its relatively small sample size and predominance of white men ( reflecting the veteran patient population ) .,"Our study's limitations include a small sample size and a predominance of white men (reflecting the veteran patient population).

Chinese: 我们的研究的局限性包括样本规模较小和白人男性的优势（反映了老兵病人群体）。"
another limitation involves the intratrial protocol amendments required to enable trial completion .,另一个限制是需要修改试验方案才能完成试验。
"overly restrictive entry criteria that limit trial enrollment , generalizability , and completion are a common problem in trials involving patients with functional gastrointestinal disorders.40,41","过于严格的入场标准会限制试验的招募、普遍性和完成度，这是功能性胃肠疾病试验中的一个常见问题。40,41"
"consequently , we amended the protocol to allow the entry of patients with contraindications to desipramine .",因此，我们修订了协议，允许患有对氮氧化物抗药物的病人入院。
"we also amended power calculations to detect only large differences between medical and surgical treatments , reasoning that physicians would not recommend surgery unless it were considerably more effective than medical therapy .",我们还修正了功率计算，以只检测医疗和手术治疗之间的大差异，理由是医生不会推荐手术，除非它比医疗治疗明显有效得多。
"in that highly selected group , laparoscopic Nissen fundoplication was significantly superior to medical therapy .",在那个高度选择的组别中，腹腔镜尼森外翻手术明显优于药物治疗。
the relative merits of ticagrelor as compared with prasugrel in patients with acute coronary syndromes for whom invasive evaluation is planned are uncertain .,相对于那些计划进行侵袭性评估的急性冠状动脉综合征患者而言，蒂卡格雷洛与帕苏格雷之间的相对优势尚不清楚。
"the primary end point was the composite of death , myocardial infarction , or stroke at 1 year .","The primary end point was the composite of death, myocardial infarction, or stroke at 1 year.

Chinese:

一年内的死亡、心肌梗死或中风是主要终点指标。"
a major secondary end point ( the safety end point ) was bleeding .,主要的次要终点（安全终点）是出血。
a total of 4018 patients underwent randomization .,共有4018位病人随机分配了治疗方案。
"the respective incidences of the individual components of the primary end point in the ticagrelor group and the prasugrel group were as follows : death , 4.5 % and 3.7 % ; myocardial infarction , 4.8 % and 3.0 % ; and stroke , 1.1 % and 1.0 % .",各自的发生率分别为醋栗酸胺组和醋栗酸组的主要终点的各个组件：死亡率为4.5％和3.7％；心肌梗死率为4.8％和3.0％；中风率为1.1％和1.0％。
"definite or probable stent thrombosis occurred in 1.3 % of patients assigned to ticagrelor and 1.0 % of patients assigned to prasugrel , and definite stent thrombosis occurred in 1.1 % and 0.6 % , respectively .",确定或可能的支架血栓形成发生在1.3%的ticagrelor分配给的患者和1.0%的患者分配给prasugrel，而确定的支架血栓形成发生在1.1%和0.6%，分别。
"major bleeding ( as defined by the Bleeding Academic Research Consortium scale ) was observed in 5.4 % of patients in the ticagrelor group and in 4.8 % of patients in the prasugrel group ( hazard ratio , 1.12 ; 95 % CI , 0.83 to 1.51 ; P = 0.46 ) .",严重出血（根据血液学研究联盟的标准）在西卡格雷洛尔组的患者中观察到5.4%，在帕苏格尔组的患者中观察到4.8%（危险比，1.12；95%CI，0.83至1.51；P = 0.46）。
"however , data are lacking on the relative merits of treatment for 1 year with ticagrelor as compared with prasugrel in patients with acute coronary syndromes for whom invasive evaluation is planned .",然而，在计划进行介入性评估的急性冠状动脉综合征患者中，尚缺乏有关1年使用西拉普利与帕苏格列尔治疗相对价值的数据。
"in these patients , ticagrelor is usually administered as pretreatment before diagnostic angiography , 4 but prasugrel is administered only after the coronary anatomy has been assessed by means of diagnostic angiography , 5 since no advantage has been observed when prasugrel is used as pretreatment.9","在这些病人中，丙沙明通常会在诊断血管造影前进行预处理，4但是帕苏格列尔只会在通过诊断血管造影评估了冠状动脉解剖学后进行给药，5因为在帕苏格列尔用于预处理时没有观察到任何优势。9

Chinese:

在这些病人中，丙沙明通常会在诊断血管造影前进行预处理，4但是帕苏格列尔只会在通过诊断血管造影评估了冠状动脉解剖学后进行给药，5因为在帕苏格列尔用于预处理时没有观察到任何优势。9"
"one strategy is based on ticagrelor , and the other is based on prasugrel .",一种策略是基于利尿剂，另一种是基于阿司匹林。
the design and rationale of the trial have been published previously.10,之前已经发布了试验的设计和理念。
"the first and last authors , with input from the steering committee , designed the trial .",第一位和最后一位作者，在指导委员会的帮助下，设计了这项实验。
"the Intracoronary Stenting and Antithrombosis Research Center , which is affiliated with Deutsches Herzzentrum München in Munich , Germany , was the data coordinating center .","the Intracoronary Stenting and Antithrombosis Research Center, which is affiliated with Deutsches Herzzentrum München in Munich, Germany, was the data coordinating center.

中文：

德国慕尼黑德意志心脏中心附属的冠状动脉支架与抗血栓研究中心是数据协调中心。"
data analysis was performed by the trial statistician .,统计分析由试验统计员进行。
"the first and last authors and the trial statistician vouch for the accuracy and completeness of the data and for the fidelity of the trial to the protocol , which is available with the full text of this article at NEJM.org .",第一位和最后一位作者以及统计师保证数据的准确性和完整性，并保证试验与协议的忠实性，全文可在 NEJM.org 上找到。
the first author wrote the first draft of the manuscript .,第一作者撰寫了該篇論文的第一稿。
all the authors agreed to submit the manuscript for publication .,所有的作者都同意把这篇论文投稿给出版社。
the funding institutions were not involved in writing the manuscript or interpreting the results .,资助机构未参与论文的撰写或结果的解释。
commercially available ticagrelor or prasugrel tablets were prescribed by the treating physician and purchased by the patients .,被治疗的医生开具了可在商业上获得的西卡格雷洛或帕苏格雷片，并由病人购买。
"a detailed list of participating centers and investigators is provided in the Supplementary Appendix , available at NEJM.org .",参与中心和调查人员的详细名单可在NEJM.org上找到。
exclusion criteria were determined predominantly from the summary of medical product characteristics of the trial drugs .,"exclusion criteria were determined predominantly from the summary of medical product characteristics of the trial drugs .

Chinese:
主要根据试验药物的产品特性摘要确定排除标准。"
the detailed exclusion criteria are listed in the Supplementary Appendix .,详细的排除标准列在附录中。
"patients who met all the inclusion criteria and none of the exclusion criteria were randomly assigned in consecutive order to either ticagrelor or prasugrel , with a randomization ratio of 1 : 1 .",符合所有纳入标准且不符合任何排除标准的患者按照连续顺序随机分配给他规则或帕苏格尔，随机化比例为1：1。
time zero was defined as the time of randomization .,"time zero was defined as the time of randomization .

Chinese:

时间零被定义为随机化的时间。"
"randomly permuted block sizes ( of four , six , or eight ) were used in each stratum .",随机顺序块大小（四个，六个或八个）在每个层中使用。
therapy with ticagrelor was started at a loading dose of 180 mg and continued at a maintenance dose of 90 mg twice daily .,在起始剂量为180毫克的情况下开始使用西拉雷德治疗，然后在每天两次的维持剂量为90毫克。
