,English,Chinese,Reference,BLEU,Dictionary Accuracy
10,"many studies have developed risk stratification guidelines , but few have applied them in a primary care population .","['许多研究已经开发了风险分裂指南,但很少有人在初级护理人口中应用了这些指南。']","有 许多 研究 制定 了 风险 分层 指南 , 但 其中 很少 有 研究 将 其 应用 于 初级 诊疗 机构 的 人群 .",0.17123266486275543,0.5555555555555555
11,"in this prospective study , researchers recruited patients from a family medicine practice in an inner city setting in England .","['在这项有前途的研究中,研究人员招募了来自英格兰内部城市的家庭医学实践的患者。']","在 这项 前瞻性 研究 中 , 研究者 从 英格兰 市中心 的 一个 家庭医生 诊所 招募 了 患者 .",0.16728564282170205,0.7666666666666666
12,"adults with one or more risk factors for chronic liver disease ( obesity , type 2 diabetes , and hazardous alcohol use ) were enrolled as a subpopulation of the overall primary care practice .",['患有慢性肝脏疾病的一个或多个风险因素(肥胖、2型糖尿病和危险酒精使用)的成年人被列为总体初级护理实践的低人口。'],"本 研究 纳入 了 有 1 项 或 多项 慢性 肝病 危险 因素 ( 肥胖 , 2 型 糖尿病 和 危险 饮酒 ) 的 成人 , 将 其 作为 初级 诊疗 机构 总体 人群 的 一个 亚 人群 .",0.23201468116072924,0.8055555555555557
13,"patients underwent transient elastography ( TE ) , from which a reading of ≥ 8 kPa was defined as significant liver disease .","['患者接受过渡性艾拉斯托格(TE),从那里读取 ≥ 8 kPa 被定义为严重的肝病。']","患者 接受 了 瞬时 弹性 成像 ( TE ) , 成像 读数 ≥ 8 kPa 被 定义 为 显著 肝病 .",0.36585443866072415,0.5333333333333333
14,"among 576 patients participating , 533 ( 93 % ) had a reliable TE measurement .","['在576名患者中,533人(93%)接受了可靠的TE测量。']","在 参与 本 研究 的 576 例 患者 中 , 533 例 ( 93% ) 有 可靠 的 TE 测定 值 .",0.2993651742933908,0.5
15,"significant liver disease was found in 12 % of patients , nearly one third of whom had obesity as their only risk factor .","['显著的肝脏疾病在12%的患者中被发现,其中近三分之一患有肥胖,这是他们唯一的风险因素。']","检查 发现 12% 的 患者 有 显著 肝病 , 其中 近 1 / 3 患者 的 唯一 危险 因素 是 肥胖 .",0.18285395468770885,0.875
16,"also , importantly , not only was obesity or diabetes each individually a driver of significant liver disease , but their combined presence showed a synergistic effect on prevalence .","['此外,重要的是,不僅肥胖或糖尿病,每個人都是一個重大肝病的導致者,但他們的組合存在表明對流行性有相互作用。']","此外 , 重要 的 是 , 不仅 肥胖 或 糖尿病 均 为 显著 肝病 的 驱动 因素 , 而且 两者 同时 存在 时 对 患病率 产生 协同效应 .",0.2654889496762267,0.7142857142857143
17,"Helicobacter pylori is a known risk factor for gastric cancer , and its eradication may be protective against the disease .","['Helicobacter pylori 是一种已知的胃癌风险因素,其消除可能对疾病有保护性。']","幽门 螺杆菌 是 胃癌 的 已知 危险 因素 , 根除 幽门 螺杆菌 可能 对 胃癌 有 预防 效果 .",0.14792589425220287,0.75
18,both garlic and vitamin supplementation may also be protective in populations with nutritional deficiencies .,['胡萝卜和维生素补充剂在营养缺陷的人群中也可能有保护性。'],补充 大蒜 和 维生素 也 可能 对 营养 缺乏 的 人群 产生 防护 作用 .,0.1582734471104347,0.75
19,"the 2258 participants with H. pylori infection were assigned in a 2 × 2 × 2 factorial fashion to H. pylori eradication treatment , supplementation with vitamins ( vitamins C , E , and selenium ) , or supplementation with garlic ( extract and oil ) or to placebos for each .",['2258名患有H. pylori感染的参与者以2×2×2因子方式被分配给H. pylori消灭治疗、维生素补充(维生素C、E、和<unk>)或加胡萝卜补充(提取物和油)或每种补充。'],"研究者 采用 2 × 2 × 2 析 因 设计 将 2 , 258 名 感染 幽门 螺杆菌 的 参与者 分组 , 分别 接受 幽门 螺杆菌 根除 治疗 , 补充 维生素 ( 维生素 C , 维生素 E 和 硒 ) 或 补充 大蒜 ( 提取物 和 大蒜油 ) 或者 使用 每种 方案 的 安慰剂 .",0.2248825142165918,0.6158716691804927
20,the 1107 participants without H. pylori infection were assigned in a 2 × 2 factorial fashion to vitamin or garlic supplementation or to placebos for each .,['没有H.pylori感染的1107名参与者以2×2因子方式分配到维生素或胡萝卜补充剂或每人分配到 placebo。'],"研究者 采用 2 × 2 析 因 设计 将 1 , 107 名 未感染 幽门 螺杆菌 的 参与者 分组 , 分别 补充 维生素 或 大蒜 或者 使用 每种 方案 的 安慰剂 .",0.13872486802506734,0.594017094017094
21,"H. pylori eradication reduced the incidence of gastric cancer ( odds ratio , 0.48 ) and mortality from gastric cancer ( adjusted hazard ratio , 0.62 ) .",['H. pylori 消除降低了胃癌的发病率(率为 0.48 )和胃癌的死亡率(调整的危险率为 0.62 )。'],"• 根除 幽门 螺杆菌 降低 了 胃癌 发病率 ( 比值 比 [ OR ] , 0.48 ) 和 胃癌 死亡率 ( 校正 后 的 风险 比 [ aHR ] , 0.62 ) .",0.22659112364372264,0.7222222222222222
22,"vitamin supplementation also decreased the incidence of gastric cancer ( OR , 0.64 ) and mortality from gastric cancer ( aHR , 0.48 ) .","['维生素补充也降低了胃癌的发病率( OR, 0.64 )和胃癌的死亡率( aHR, 0.48 )。']","• 补充 维生素 也 降低 了 胃癌 发病率 ( OR , 0.64 ) 和 胃癌 死亡率 ( aHR , 0.48 ) .",0.6113430912575873,0.8
23,"garlic supplementation did not reduce gastric cancer incidence but did reduce mortality from gastric cancer ( aHR , 0.66 ) .","['加糖补充剂没有减少胃癌的发病率,但减少了胃癌的死亡率(aHR,0.66)。']","• 补充 大蒜 未 降低 胃癌 发病率 , 但 降低 了 胃癌 死亡率 ( aHR , 0.66 ) .",0.3597067574021365,0.7153846153846153
24,the beneficial effects of both vitamin and garlic supplementation were seen later than those from H. pylori eradication .,['维生素和胡萝卜补充剂的有益效果比H.pylori消灭的效果更晚。'],• 补充 维生素 和 大蒜 的 有益 效果 比 根除 幽门 螺杆菌 的 有益 效果 显现 得 要 晚 .,0.2347699717700197,0.2692307692307692
25,"although the results reconfirm the benefit of H. pylori eradication at reducing gastric cancer incidence and mortality , the findings of the benefits of vitamin and garlic supplementation required longer observation to become apparent .","['虽然结果证实了H. pylori的消灭对减少胃癌的发病率和死亡率的好处,但维生素和胡萝卜补充的好处的发现需要更长的观察才能显而易见。']","结果 再次 证实 了 根除 幽门 螺杆菌 在 降低 胃癌 发病率 和 死亡率 方面 的 益处 , 而 补充 维生素 和 大蒜 的 益处 需要 较长 的 观察期 才能 显现 .",0.15920027946763748,0.5811965811965812
26,"the generalizability of the findings on supplementation may be limited , given that the study population had baseline nutritional deficiencies and a high risk for gastric cancer , but I would consider recommending a multivitamin for my patients at high risk for gastric cancer .","['关于补充剂的发现的普遍性可能有限,因为研究人口的基本营养缺陷和胃癌的风险很高,但我会考虑推荐一个多维生素给我的患者患胃癌的风险很高。']","鉴于 研究 人群 在 基线 时有 营养 缺乏 且 属于 胃癌 高危 人群 , 因此 补充 维生素 和 大蒜 的 结果 在 普遍 适用性 方面 可能 有限 , 但 我会 考虑 推荐 胃癌 高危 患者 服用 复合 维生素 .",0.20716533338561946,0.6428571428571429
27,a large cohort study found higher rates of cancer in children who underwent computed tomography than in those who did not .,"['一项大型协调研究发现,在受计算 tomography 的儿童中,癌症的发病率高于未经计算的儿童中。']","一项 大型 队列 研究 发现 , 接受 计算机 断层 ( CT ) 扫描 的 儿童 的 癌症 发病率 高于 未 接受 CT 扫描 的 儿童 .",0.19220674764813367,0.501984126984127
28,"concerns about the carcinogenic effects of radiation are largely based on data from atomic bomb survivors , and the effects of ionizing radiation used for medical imaging are less well studied .","['关于辐射的致癌作用的担忧主要是基于原子弹幸存者的数据,用于医学图像的离子辐射的效果不太好研究。']","对 辐射 致癌 效应 的 担忧 主要 是 基于 原子弹 幸存者 的 数据 , 而 对于 医学 影像学 检查 中 应用 的 电离辐射 , 目前 关于 其 影响 的 研究 并不多 .",0.4069000827639468,0.7062499999999999
29,"to count as an exposure , diagnostic radiation had to have occurred two years before any cancer diagnosis .","['要计算为曝光,诊断辐射必须在任何癌症诊断之前发生两年。']",诊断 检查 中 的 辐射 需 发生 于 诊断 出 癌症 之前 至少 2 年 才能 算作 暴露 .,0.11246606831376321,0.880952380952381
30,"new cancers were diagnosed in 22,000 patients ( 0.02 % ) , including 1444 patients after radiation exposure ( 0.1 % ) .","['新的癌症被诊断为22000名患者(0.02%),其中1444名患者在辐射曝光后(0.1%)。']","有 22 , 000 例 患者 ( 0.02% ) 被 诊断 出新 发 癌症 , 其中 1 , 444 例在 辐射 暴露 后 被 诊断 出新 发 癌症 ( 0.1% ) .",0.21559026239299148,1.0
31,"after adjustment for age and sex , radiation exposure was associated with a relative risk of 1.64 for developing a new cancer .","['在年龄和性别调整后,辐射曝光与新癌症发育的相对风险为1.64相关。']","根据 年龄 和 性别 进行 校正 后 , 与 辐射 暴露 相关 的 新发 癌症 相对 危险度 为 1.64 .",0.20200088179616782,0.8181818181818182
32,"the highest risks were for myelodysplasia , leukemias , and breast , thyroid , and oral and pharyngeal cancers .","['最高的风险是甲状腺,乳腺,甲状腺和口腔和甲状腺癌。']","风险 最高 的 是 骨髓 增生 异常 , 白血病 , 乳腺癌 , 甲状腺癌 , 口腔癌 和 咽癌 .",0.14714934041205974,0.5
33,"however , the overall risk of cancer was still very low , so when imaging is necessary , we should not hesitate to order it .","['然而,癌症的总风险仍然很低,所以当图像需要时,我们不应该犹豫地订购它。']","但 癌症 的 总体 风险 仍然 很 低 , 因此 在 有 必要 进行 影像学 检查 时 , 我们 下 医嘱 不 应 犹豫 .",0.2752907885451254,0.6275510204081632
34,"treatment with cool running water was associated with improved outcomes , especially when administered for at least 20 minutes .","['冷流水的治疗与改善结果有关,特别是当服用至少20分钟时。']","流动 冷水 冲洗 与 结局 改善 相关 , 尤其 是 持续 冲洗 至少 20 分钟 的 情况 下 .",0.16000060632747837,0.7333333333333333
35,recent evidence suggests that burns in adults heal better when treated with cool running water ( Burns 2019 ; 45 : 433 ; PLoS One 2016 ; 11 : e0147259 ) .,"['最近的证据表明,燃烧在成年人治疗时愈合更好(燃烧2019;45:433;PLoS One2016;11:e0147259)。']","新 的 证据 提示 , 成人 烧伤 后经 流动 冷水 冲洗 可以 更好 地 愈合 ( Burns 2019 ; 45 : 433 ; PLoS One 2016 ; 11 : e0147259 ) .",0.41030580937816163,0.4047619047619047
36,"to assess the effect of this treatment for pediatric burns , researchers queried an Australian burn center database that included structured interviews with patients and parents about first aid provided within 3 hours of injury , prior to burn center assessment .","['为了评估这种治疗对儿科烧伤的影响,研究人员询问了澳大利亚烧伤中心的数据库,其中包括与患者和父母的结构化采访,关于在伤害后3小时内提供的第一援助,在烧伤中心的评估之前。']","为了 评估 这一 疗法 对于 儿童 烧伤 的 效果 , 研究者 查询 了 一个 澳大利亚 烧伤 中心 的 数据库 , 该 数据库 包括 对 患者 及其 父母 所 做 的 结构化 访谈 , 访谈 内容 是 在 烧伤 中心 检查 之前 , 患者 于 受伤 后 3 小时 内 接受 的 急救 .",0.2853685476085562,0.5916666666666667
37,"patients with friction , electrical , and chemical burns as well as those with missing data were excluded .",['被排除患有震动、电气和化学燃烧的患者以及缺乏数据的患者。'],"发生 摩擦 烧伤 , 电 烧伤 和 化学 烧伤 , 以及 数据 缺失 的 患者 被 排除 .",0.15563527744180608,0.6071428571428571
38,"although observational , this study provides fairly convincing evidence that treatment of pediatric burns with cool running water as soon as possible improves important clinical outcomes .","['虽然观察性,但这项研究提供了相当令人信服的证据,儿童烧伤的治疗用冷流水尽快改善重要临床结果。']","尽管 这是 一项 观察 性 研究 , 但 它 提供 了 相当 令人信服 的 证据 证明 , 儿童 烧伤 后 尽快 采用 流动 冷水 冲洗 可 改善 重要 的 临床 结局 .",0.3292876161064414,0.7777777777777778
39,"the authors note that durations longer than 20 minutes have not been shown to provide additive benefit and could be harmful , although that was not tested in this study .","['作者指出,超过20分钟的持续时间没有被证明提供添加益处,并且可能有害,尽管这项研究没有测试。']","作者 指出 , 超过 20 分钟 的 流动 冷水 冲洗 未 产生 额外 益处 , 而且 可能 有害 , 但本 研究 并未 检验 这 一点 .",0.351682653121126,0.2333333333333333
40,"HbA1c was averaged over time for each patient ( mean HbA1c level for the cohort , 8.0 % ) .",['HbA1c 是每個患者的時間平均值(每個患者的 HbA1c 水平平均值為 8.0 % )。'],"研究者 计算 了 每例 患者 随 时间推移 的 平均 HbA1c ( 队列 平均 HbA1c 水平 , 8.0% ) .",0.12397211472231726,0.6
41,"thus , the authors suggest that an HbA1c target of 6.5 % to 6.9 % is reasonable .","['因此,作者建议一个HbA1c目标为6.5%至6.9%是合理的。']","因此 , 作者 认为 6.5% ~ 6.9% 的 HbA1c 目标 是 合理 的 .",0.24229824270221115,0.6666666666666666
42,"no ; benefits will outweigh risks for many menopausal patients who , through discussion of research findings and shared decision making , can make informed choices about HT use .","['好处将超越许多更年期患者的风险,通过讨论研究结果和共享决策,可以做出关于HT使用的有信息的选择。']","不会 ; 对于 许多 绝经期 患者 而言 , 激素 疗法 的 益处 大于 风险 , 通过 讨论 研究 结果 和 共同 决策 , 她们 可以 做出 知情 选择 .",0.3184137804224108,0.513888888888889
43,hormone therapy ( HT ) is the most effective treatment for bothersome menopausal vasomotor symptoms .,['荷尔蒙治疗(HT)是最有效的治疗缓慢的更年期血管症状。'],"对于 令人烦恼 的 绝经期 血管 舒缩 症状 , 激素 疗法 是 最 有效 的 治疗 手段 .",0.28332326090548093,0.5455077086656034
44,both regimens raised risk for stroke and venous thromboembolism but lowered risk for fractures and diabetes .,"['两种饮食都增加了中风和血管肿瘤的风险,但减少了裂缝和糖尿病的风险。']","两种 方案 均 增加 了 卒 中 和 静脉 血栓 栓塞 的 风险 , 但 降低 了 骨折 和 糖尿病 的 风险 .",0.2963026972174664,0.6071428571428571
45,"although observational studies over the past several decades have linked HT to increased breast cancer risk , the specific associations with HT formulation , route of delivery , and duration have been poorly studied .","['虽然过去几十年的观测研究将HT与乳腺癌风险增加有关,但与HT的具体组成、分娩路径和持续时间的具体联系已被研究不佳。']","尽管 过去 几十年 的 观察 性 研究 在 激素 疗法 与 乳腺癌 风险 增加 之间 建立 了 关联 , 但 在 与 激素 疗法 制剂 , 给 药 途径 和 持续时间 的 具体 关联 方面 , 目前 开展 的 研究 很少 .",0.22351475010685037,0.738095238095238
46,all systemic HT formulations ( including those using oral conjugated equine estrogens or estradiol or transdermal estradiol ) were associated with excess risk for breast cancer .,['所有系统的HT配方(包括使用口服合并的乙<unk>雌激素或 estradiol或 transdermal estradiol)都与乳腺癌的过度风险有关。'],所有 全身 用药 的 激素 疗法 制剂 ( 包括 口服 结合 马 雌激素 或 雌二醇 或者 经皮 给 药 的 雌二醇 ) 均 与 乳腺癌 的 超额 危险度 相关 .,0.1539095339281678,0.6305555555555555
47,type of progestogen did not appear to affect these associations .,['这种类型的蛋白质似乎不会影响这些组合。'],孕激素 的 类型 似乎 不 影响 上述 关联 .,0.11369951804975036,0.6666666666666666
48,vaginal estrogen was not associated with increased risk .,['阴道雌激素与增加风险无关。'],阴道 给 药 的 雌激素 未 伴有 风险 增加 .,0.12639844595895605,0.6666666666666666
49,"assuming the reported associations are causal , the authors estimated the absolute risk for breast cancer up to age 70 .","['假设报告的协会是因果性的,作者估计到70岁之前患乳腺癌的绝对风险。']","假设 报告 的 关联 是 因果关系 , 作者 估算 了 截至 70 岁 时 , 乳腺癌 的 绝对 风险 .",0.26471010803084627,0.7333333333333333
50,"at 10 years of HT use , risks were approximately twice that at 5 years .","['在使用10年HT时,风险大约是5年时的两倍。']",使用 激素 疗法 10 年 时 的 风险 大约 是 5 年 时 的 2 倍 .,0.4293548972624062,0.3333333333333333
51,"for EPT , both the randomized WHI trial and this new Lancet analysis of observational data indicated an increased risk for breast cancer .","['对于EPT,无论是随机的WHI测试还是新的Lancet观测数据分析,都表明乳腺癌的风险增加。']","对于 雌激素 - 孕激素 疗法 , 随机 WHI 试验 与 《 柳叶刀 》 中 关于 观察 性 数据 的 这项 新 的 分析 均 表明 , 乳腺癌 风险 增加 .",0.12879332661734852,0.7152777777777778
52,could the excess risk found in observational studies be exaggerated due to inherent limitations of the study design ?,['在观察研究中发现的过度风险是否会由于研究设计的本质限制而被夸张?'],观察 性 研究 中 发现 的 超额 危险度 是否 因 研究 设计 中 的 固有 局限性 而 被 夸大 ?,0.23283512726319439,0.5277777777777778
53,"in contrast , in the WHI trial ( and in most randomized trials of HT ) , both users and nonusers underwent uniformly standardized mammographic screening .","['相反,在WHI试验(和大多数随机试验的HT)中,用户和未使用者都接受了均匀标准化的乳房筛查。']","相比之下 , 在 WHI 试验 ( 以及 关于 激素 疗法 的 大多数 随机 试验 ) 中 , 使用 和 未 使用 激素 疗法 的 女性 均 接受 了 统一 的 标准化 乳腺 X 线 筛查 .",0.2733378260246566,0.6666666666666666
54,"thus , the excess breast cancer risk in observational studies could reflect increased mammographic detection of nonlethal cancers .","['因此,在观测研究中,乳腺癌的过度风险可能会反映非乳腺癌的增加乳腺癌检测。']","因此 , 观察 性 研究 中 乳腺癌 的 超额 危险度 可能 反映 出 乳腺 X 线 检查 发现 的 非 致死 性 乳腺癌 增加 .",0.16196031596191998,0.9166666666666666
55,"accordingly , one advantage that observational studies have over randomized trials ( usually limited to 5 − 7 years of treatment ) is their ability to assess extended use .","['因此,观察研究对随机试验(通常限于5～7年的治疗)的一个优点是它们能够评估延长使用。']","因此 , 观察 性 研究 胜过 随机 试验 ( 通常 限于 5 ~ 7 年 的 治疗 ) 的 一个 优势 是 可以 评估 长期 用药 .",0.47618325068562645,0.8611111111111112
56,"understandably , women are often concerned about breast cancer risk as they make decisions about HT ; however , such decisions should be guided by the big picture .","['可以理解的,女性经常担心乳腺癌的风险,因为他们做出关于HT的决定;但是,这样的决定应该由大图像引导。']","可以 理解 , 女性 在 做 关于 激素 疗法 的 决策 时 , 常 担心 乳腺癌 的 风险 ; 然而 , 制订 此类 决策 时应 眼观 大局 .",0.1903480612287871,0.75
57,"on an absolute scale , many of the risks associated with HT are modest .","['在绝对范围内,与HT相关的许多风险是微不足道的。']","就 绝对 风险 而言 , 与 激素 疗法 相关 的 许多 风险 都 不大 .",0.23121898799412766,0.4444444444444444
58,the largest hazard ratio associated with HT use corresponds to an elevated risk for venous thromboembolism - and using transdermal rather than oral estrogen appeared to attenuate this risk .,"['与HT使用相关的最大风险比例相当于血管血管肿瘤的风险增加,而使用跨皮质而不是口服雌激素似乎会减轻这种风险。']","与 使用 激素 疗法 相关 的 最大 风险 比 对应 于 静脉 血栓 栓塞 风险 增加 , 而 使用 经皮 给 药 的 雌激素 代替 口服 雌激素 似乎 可 降低 上述 风险 .",0.2992144974343298,0.5
59,"for many women , risks associated with HT are offset by reductions in symptoms , improved quality of life , and benefits in other health outcomes , such as fractures .","['对于许多妇女来说,与HT相关的风险是由症状的减少、生活质量的改善以及其他健康结果的好处,如骨折来补偿的。']","对于 许多 女性 而言 , 症状 减少 , 生活 质量 改善 及其 他 健康 结局 ( 如 骨折 ) 方面 的 获益 可 抵消 与 激素 疗法 相关 的 风险 .",0.16981423890651484,0.7525252525252526
60,"the net effects of HT are most favorable for recently menopausal women who have moderate to severe vasomotor symptoms and low or average risks for breast cancer , cardiovascular disease , and venous thromboembolism .","['HT的净效应最有利于最近更年期妇女,患有适度至严重的血管发作症状,乳腺癌、心血管疾病和阴道血管肿瘤的风险较低或平均。']","激素 疗法 的 净 效应 对 近期 绝经 , 有 中度 至 重度 血管 舒缩 症状 , 并且 乳腺癌 , 心血管 疾病 和 静脉 血栓 栓塞 风险 低 或 一般 的 女性 最为 有利 .",0.1793889697604621,0.7236111111111111
61,"in sum , women deserve reliable information in order to make informed decisions - aligned with their personal preferences - on whether the potential benefits of HT are likely to outweigh the potential risks .","['总的来说,妇女应获得可靠的信息,以便根据自己的个人偏好做出有意识的决定,关于HT的潜在好处是否可能超越潜在的风险。']","总之 , 女性 应 获得 关于 激素 疗法 的 潜在 益处 是否 可能 超过 潜在 风险 的 可靠 信息 , 以便 其 结合 个人 偏好 做出 知情 决策 .",0.198650596857156,0.6428571428571429
62,"the primary outcome was treatment success , defined as a decrease of 50 % or more in the Gastroesophageal Reflux Disease ( GERD ) -Health Related Quality of Life score ( range , 0 to 50 , with higher scores indicating worse symptoms ) at 1 year .","['初步结果是治疗成功,定义为Gastroesophageal Reflux Disease(GERD) -Health Related Quality of Life Score(范围,0至50,高得分表明症状恶化)的50%或以上下降1年。']","主要 结局 是 治疗 成功 , 定义 为 1 年 时 胃 食管 反流病 ( GERD ) - 健康 相关 生活 质量 评分 ( 范围 , 0 ~ 50 分 , 较 高 的 评分 表示 较 严重 的 症状 ) 降低 ≥ 50% .",0.31101720461186116,0.6576911976911978
63,"a total of 366 patients ( mean age , 48.5 years ; 280 men ) were enrolled .",['共有366名患者(平均年龄、48.5岁、280名男性)被注册。'],"本 试验 共 纳入 了 366 例 患者 ( 平均年龄 , 48.5 岁 ; 280 例 男性 ) .",0.19043799487017812,0.6666666666666666
64,the remaining 78 patients underwent randomization .,['其余78名患者遭到随机化。'],其余 78 例 患者 被 随机 分组 .,0.13961180423898958,1.0
65,"the difference in the incidence of treatment success between the active medical group and the control medical group was 16 percentage points ( 95 % confidence interval , − 5 to 38 ; P = 0.17 ) .","['活跃医疗组和控制医疗组之间的治疗成功率差异为16个百分点(95%的信任间隔, − 5 至 38; P = 0.17)。']","活性 药物 治疗 组和 对照 药物 治疗 组 之间 的 治疗 成功率 差异 为 16 个 百分点 ( 95% 置信区间 , - 5 ~ 38 ; P = 0.17 ) .",0.5318513700670886,0.7777777777777778
66,"for that highly selected subgroup , surgery was superior to medical treatment . ( Funded by the Department of Veterans Affairs Cooperative Studies Program ; ClinicalTrials.gov number , NCT01265550 . )","['对于这个高度选择的子组,手术优于医疗治疗(由退休人员事务合作研究计划资助;ClinicalTrials.gov号,NCT01265550。']","对于 这一 经过 严格 选择 的 亚组 , 手术 治疗 的 效果 优于 药物 治疗 ( 由 美国 退伍军人 事务部 合作 研究 计划 [ Department of Veterans Affairs Cooperative Studies Program ] 资助 ; 在 ClinicalTrials . gov 注册号 为 NCT01265550 ) .",0.176039829205013,0.6590073529411764
67,"in the United States , approximately 20 % of adults regularly have symptoms of gastroesophageal reflux disease ( GERD ) , 1 and annual costs for managing GERD exceed $ 12 billion.2","['在美国,大约20%的成年人经常患有胃血管流感疾病(GERD)的症状,1和管理GERD的年度成本超过12亿美元。']","美国 大约 20% 的 成人 经常 有 胃 食管 反流病 ( GERD ) 的 症状 1 , 每年 用于 治疗 GERD 的 费用 超过 120 亿美元 2 .",0.2590969619173468,0.6571428571428571
68,PPIs are often continued despite inadequate symptom relief.11,"['PPI经常持续,尽管症状缓解不够。']","患者 的 常见 状况 是 即使 症状 未能 充分 缓解 , 但 仍 继续 使用 PPI 11 .",0.07983923081266908,0.4166666666666667
69,"alternatively , for patients with reflux hypersensitivity , surgical reduction of reflux might not relieve symptoms generated by a hypersensitive esophagus .","['换句话说,对于患有过敏的患者,过敏的手术减少可能不会缓解由过敏性<unk>疹引起的症状。']","也 可能 是 对于 反流 高 敏感 的 患者 , 通过 手术 减少 反流 可能 并 不能 缓解 由 食管 高 敏感 引起 的 症状 .",0.19675093734126883,0.6296037296037297
70,"surgeons are reluctant to rely on it to select patients for fundoplication , generally preferring traditional esophageal pH monitoring for that purpose.21","['外科医生拒绝依赖于选择病人进行补贴,一般偏好传统的尿液pH监测。']","外科 医师 不 愿意 依靠 MII - pH 监测 来 选择 实施 胃底 折叠 术 的 患者 , 而是 通常 更 愿意 依靠 常规 食管 pH 监测 来 选择 患者 21 .",0.06567999019165485,0.6666666666666666
71,this trial was approved by the Veterans Affairs ( VA ) central institutional review board .,['该审判由维特兰事务中央机构审计委员会(VA)批准。'],本 试验 获得 了 退伍军人 事务部 ( VA ) 中央 机构 审查 委员会 批准 .,0.17903285771068644,0.6666666666666666
72,"the authors vouch for the completeness and accuracy of the data and for the fidelity of the trial to the protocol , available with the full text of this article at NEJM.org .","['作者保证数据的完整性和准确性,以及对本议定书的审判忠诚性,可在NEJM.org上提供本文的完整文本。']","作者 保证数据 的 完整性 和 准确性 , 并 保证 试验 对 方案 ( 试验 方案 与 本文 全文 可 在 NEJM . org 获取 ) 的 忠实度 .",0.3928778562500363,0.8233333333333335
73,prerandomization Trial Procedures,['预先审判程序'],随机 分组 前 的 试验 程序,0.0,1.0
74,all patients who were referred to VA gastroenterology clinics for heartburn refractory to PPIs were screened ( Figure 1 ) .,['所有被转移到 VA 胃肠道诊所的病人对心燃解体的 PPI 进行了检查(图 1 )。'],因 PPI 难治性 胃灼热 被 转诊 至 VA 胃肠病 诊所 的 所有 患者 均 接受 了 筛选 ( 图 1 ) .,0.20656757582322657,0.5833333333333333
