,English,Chinese,Reference,BLEU,Dict Acc Exact Match,Terms,Exact Match Terms,Dict Acc Character Level
15,"significant liver disease was found in 12 % of patients , nearly one third of whom had obesity as their only risk factor .",12% 的患者患有严重的肝病，其中将近三分之一的患者肥胖是唯一的危险因素。,"检查 发现 12% 的 患者 有 显著 肝病 , 其中 近 1 / 3 患者 的 唯一 危险 因素 是 肥胖 .",0.1866159211926788,0.5,"['liver disease', 'obesity', 'risk factor', 'third']","['liver disease', 'obesity']",0.8125
16,"also , importantly , not only was obesity or diabetes each individually a driver of significant liver disease , but their combined presence showed a synergistic effect on prevalence .",同样重要的是，不仅肥胖或糖尿病各自单独成为严重肝病的驱动因素，而且它们的共同存在对患病率显示出协同效应。,"此外 , 重要 的 是 , 不仅 肥胖 或 糖尿病 均 为 显著 肝病 的 驱动 因素 , 而且 两者 同时 存在 时 对 患病率 产生 协同效应 .",0.30415223543759334,0.7142857142857143,"['presence', 'diabetes', 'prevalence', 'liver disease', 'obesity', 'driver', 'synergistic effect']","['presence', 'diabetes', 'liver disease', 'obesity', 'synergistic effect']",0.8095238095238095
17,"Helicobacter pylori is a known risk factor for gastric cancer , and its eradication may be protective against the disease .",幽门螺杆菌是胃癌的已知危险因素，根除幽门螺杆菌可预防该病。,"幽门 螺杆菌 是 胃癌 的 已知 危险 因素 , 根除 幽门 螺杆菌 可能 对 胃癌 有 预防 效果 .",0.5266333725751775,0.5,"['eradication', 'disease', 'helicobacter', 'risk factor', 'protective', 'gastric cancer']","['eradication', 'disease', 'gastric cancer']",0.8611111111111112
18,both garlic and vitamin supplementation may also be protective in populations with nutritional deficiencies .,大蒜和维生素补充剂也可能对营养缺乏的人群起到保护作用。,补充 大蒜 和 维生素 也 可能 对 营养 缺乏 的 人群 产生 防护 作用 .,0.5939458840217611,0.5,"['vitamin', 'garlic', 'nutritional', 'protective']","['vitamin', 'garlic']",1.0
19,"the 2258 participants with H. pylori infection were assigned in a 2 × 2 × 2 factorial fashion to H. pylori eradication treatment , supplementation with vitamins ( vitamins C , E , and selenium ) , or supplementation with garlic ( extract and oil ) or to placebos for each .",2258名感染幽门螺杆菌的参与者以2 × 2 × 2析因方式被分配到根除幽门螺杆菌治疗、补充维生素（维生素C、E和硒） ，或补充大蒜（提取物和油） ，或每个安慰剂。,"研究者 采用 2 × 2 × 2 析 因 设计 将 2 , 258 名 感染 幽门 螺杆菌 的 参与者 分组 , 分别 接受 幽门 螺杆菌 根除 治疗 , 补充 维生素 ( 维生素 C , 维生素 E 和 硒 ) 或 补充 大蒜 ( 提取物 和 大蒜油 ) 或者 使用 每种 方案 的 安慰剂 .",0.3464919932424905,0.8333333333333334,"['infection', 'placebos', 'extract', 'eradication', 'oil', '2', 'garlic', 'treatment', 'selenium', 'C', 'E', 'vitamins']","['infection', 'placebos', 'extract', 'eradication', 'oil', '2', 'garlic', 'treatment', 'selenium', 'vitamins']",0.8715277777777778
20,the 1107 participants without H. pylori infection were assigned in a 2 × 2 factorial fashion to vitamin or garlic supplementation or to placebos for each .,1107 名未感染幽门螺杆菌的参与者以 2 × 2 阶乘方式被分配到维生素或大蒜补充剂组或安慰剂组。,"研究者 采用 2 × 2 析 因 设计 将 1 , 107 名 未感染 幽门 螺杆菌 的 参与者 分组 , 分别 补充 维生素 或 大蒜 或者 使用 每种 方案 的 安慰剂 .",0.28335564299056765,0.8333333333333334,"['infection', 'placebos', 'vitamin', '2', 'garlic', 'without']","['infection', 'placebos', 'vitamin', '2', 'garlic']",0.8333333333333334
21,"H. pylori eradication reduced the incidence of gastric cancer ( odds ratio , 0.48 ) and mortality from gastric cancer ( adjusted hazard ratio , 0.62 ) .",根除幽门螺杆菌降低了胃癌的发病率（比值比，0.48）和胃癌死亡率（调整后的风险比，0.62）。,"• 根除 幽门 螺杆菌 降低 了 胃癌 发病率 ( 比值 比 [ OR ] , 0.48 ) 和 胃癌 死亡率 ( 校正 后 的 风险 比 [ aHR ] , 0.62 ) .",0.3380152223674521,0.8333333333333334,"['eradication', 'incidence', 'hazard ratio', 'mortality', 'gastric cancer', 'odds']","['eradication', 'incidence', 'hazard ratio', 'mortality', 'gastric cancer']",0.9166666666666666
22,"vitamin supplementation also decreased the incidence of gastric cancer ( OR , 0.64 ) and mortality from gastric cancer ( aHR , 0.48 ) .","维生素补充剂还降低了胃癌的发病率 (OR, 0.64) 和胃癌死亡率 (aHR, 0.48)。","• 补充 维生素 也 降低 了 胃癌 发病率 ( OR , 0.64 ) 和 胃癌 死亡率 ( aHR , 0.48 ) .",0.787207441112933,0.8,"['incidence', 'vitamin', 'mortality', 'OR', 'gastric cancer']","['incidence', 'vitamin', 'mortality', 'gastric cancer']",0.8
23,"garlic supplementation did not reduce gastric cancer incidence but did reduce mortality from gastric cancer ( aHR , 0.66 ) .","大蒜补充剂并未降低胃癌的发病率，但确实降低了胃癌的死亡率 (aHR, 0.66)。","• 补充 大蒜 未 降低 胃癌 发病率 , 但 降低 了 胃癌 死亡率 ( aHR , 0.66 ) .",0.4180857876118177,1.0,"['incidence', 'reduce', 'garlic', 'mortality', 'gastric cancer']","['incidence', 'reduce', 'garlic', 'mortality', 'gastric cancer']",1.0
24,the beneficial effects of both vitamin and garlic supplementation were seen later than those from H. pylori eradication .,维生素和大蒜补充剂的有益作用晚于根除幽门螺杆菌。,• 补充 维生素 和 大蒜 的 有益 效果 比 根除 幽门 螺杆菌 的 有益 效果 显现 得 要 晚 .,0.1681677516014297,0.75,"['eradication', 'vitamin', 'garlic', 'later']","['eradication', 'vitamin', 'garlic']",0.75
25,"although the results reconfirm the benefit of H. pylori eradication at reducing gastric cancer incidence and mortality , the findings of the benefits of vitamin and garlic supplementation required longer observation to become apparent .",虽然结果再次证实了根除幽门螺杆菌对降低胃癌发病率和死亡率的益处，但补充维生素和大蒜的益处的发现需要更长时间的观察才能变得明显。,"结果 再次 证实 了 根除 幽门 螺杆菌 在 降低 胃癌 发病率 和 死亡率 方面 的 益处 , 而 补充 维生素 和 大蒜 的 益处 需要 较长 的 观察期 才能 显现 .",0.5071184892724465,0.7777777777777778,"['eradication', 'incidence', 'vitamin', 'garlic', 'mortality', 'benefit', 'observation', 'gastric cancer', 'become']","['eradication', 'incidence', 'vitamin', 'garlic', 'mortality', 'observation', 'gastric cancer']",0.8333333333333334
26,"the generalizability of the findings on supplementation may be limited , given that the study population had baseline nutritional deficiencies and a high risk for gastric cancer , but I would consider recommending a multivitamin for my patients at high risk for gastric cancer .",考虑到研究人群基线营养缺乏和胃癌高风险，补充剂研究结果的普遍性可能有限，但我会考虑向我的胃癌高风险患者推荐复合维生素。,"鉴于 研究 人群 在 基线 时有 营养 缺乏 且 属于 胃癌 高危 人群 , 因此 补充 维生素 和 大蒜 的 结果 在 普遍 适用性 方面 可能 有限 , 但 我会 考虑 推荐 胃癌 高危 患者 服用 复合 维生素 .",0.1613062628100699,0.375,"['population', 'baseline', 'high risk', 'study', 'nutritional', 'gastric cancer', 'limited', 'I']","['population', 'baseline', 'gastric cancer']",0.7053571428571429
27,a large cohort study found higher rates of cancer in children who underwent computed tomography than in those who did not .,一项大型队列研究发现，接受过计算机断层扫描的儿童患癌症的几率高于未接受过计算机断层扫描的儿童。,"一项 大型 队列 研究 发现 , 接受 计算机 断层 ( CT ) 扫描 的 儿童 的 癌症 发病率 高于 未 接受 CT 扫描 的 儿童 .",0.3073490490113752,0.25,"['cancer', 'large', 'cohort study', 'computed tomography']",['cancer'],0.5803571428571428
28,"concerns about the carcinogenic effects of radiation are largely based on data from atomic bomb survivors , and the effects of ionizing radiation used for medical imaging are less well studied .",对辐射致癌作用的担忧主要基于原子弹爆炸幸存者的数据，而用于医学成像的电离辐射的影响研究较少。,"对 辐射 致癌 效应 的 担忧 主要 是 基于 原子弹 幸存者 的 数据 , 而 对于 医学 影像学 检查 中 应用 的 电离辐射 , 目前 关于 其 影响 的 研究 并不多 .",0.21675891940007638,0.375,"['carcinogenic', 'data', 'bomb', 'medical', 'ionizing radiation', 'well', 'atomic', 'imaging']","['data', 'bomb', 'ionizing radiation']",0.7625
29,"to count as an exposure , diagnostic radiation had to have occurred two years before any cancer diagnosis .",要算作一次暴露，诊断性辐射必须在任何癌症诊断前两年发生。,诊断 检查 中 的 辐射 需 发生 于 诊断 出 癌症 之前 至少 2 年 才能 算作 暴露 .,0.1139120048997941,0.7142857142857143,"['count', 'cancer', 'radiation', 'exposure', 'diagnosis', 'diagnostic', 'two']","['cancer', 'radiation', 'exposure', 'diagnosis', 'two']",0.8095238095238095
30,"new cancers were diagnosed in 22,000 patients ( 0.02 % ) , including 1444 patients after radiation exposure ( 0.1 % ) .","22,000 名患者 (0.02%) 被诊断出新的癌症，其中包括 1444 名接受辐射照射后的患者 (0.1%)。","有 22 , 000 例 患者 ( 0.02% ) 被 诊断 出新 发 癌症 , 其中 1 , 444 例在 辐射 暴露 后 被 诊断 出新 发 癌症 ( 0.1% ) .",0.3497238486548875,1.0,"['radiation', 'exposure', 'new']","['radiation', 'exposure', 'new']",1.0
31,"after adjustment for age and sex , radiation exposure was associated with a relative risk of 1.64 for developing a new cancer .",在针对年龄和性别进行调整后，辐射暴露与患上新癌症的相对风险 1.64 相关。,"根据 年龄 和 性别 进行 校正 后 , 与 辐射 暴露 相关 的 新发 癌症 相对 危险度 为 1.64 .",0.26091786093157376,0.6363636363636364,"['cancer', 'radiation', 'exposure', 'sex', 'adjustment', 'relative', 'developing', 'associated', 'age', 'risk', 'new']","['cancer', 'radiation', 'exposure', 'sex', 'age', 'risk', 'new']",0.8181818181818182
32,"the highest risks were for myelodysplasia , leukemias , and breast , thyroid , and oral and pharyngeal cancers .",风险最高的是骨髓增生异常、白血病、乳腺癌、甲状腺癌、口腔癌和咽癌。,"风险 最高 的 是 骨髓 增生 异常 , 白血病 , 乳腺癌 , 甲状腺癌 , 口腔癌 和 咽癌 .",0.5200757199077854,0.25,"['thyroid', 'oral', 'pharyngeal', 'breast']",['thyroid'],0.625
33,"however , the overall risk of cancer was still very low , so when imaging is necessary , we should not hesitate to order it .",但是，整体患癌症的风险仍然很低，因此当需要进行影像学检查时，我们应该毫不犹豫地进行检查。,"但 癌症 的 总体 风险 仍然 很 低 , 因此 在 有 必要 进行 影像学 检查 时 , 我们 下 医嘱 不 应 犹豫 .",0.28166854941911956,0.42857142857142855,"['cancer', 'order', 'still', 'low', 'necessary', 'risk', 'imaging']","['cancer', 'low', 'risk']",0.6071428571428571
34,"treatment with cool running water was associated with improved outcomes , especially when administered for at least 20 minutes .",用凉爽的自来水治疗与改善结果有关，尤其是在至少持续 20 分钟的情况下。,"流动 冷水 冲洗 与 结局 改善 相关 , 尤其 是 持续 冲洗 至少 20 分钟 的 情况 下 .",0.30429518396841576,0.6,"['water', 'running', 'associated', 'treatment', 'cool']","['water', 'treatment', 'cool']",0.7333333333333333
35,recent evidence suggests that burns in adults heal better when treated with cool running water ( Burns 2019 ; 45 : 433 ; PLoS One 2016 ; 11 : e0147259 ) .,最近的证据表明，成人烧伤在用凉爽的自来水处理后愈合得更好（Burns 2019；45：433；PLoS One 2016；11：e0147259）。,"新 的 证据 提示 , 成人 烧伤 后经 流动 冷水 冲洗 可以 更好 地 愈合 ( Burns 2019 ; 45 : 433 ; PLoS One 2016 ; 11 : e0147259 ) .",0.17141259040868734,0.7142857142857143,"['recent', 'water', 'running', 'heal', 'evidence', 'cool', 'burns']","['water', 'heal', 'evidence', 'cool', 'burns']",0.7619047619047619
36,"to assess the effect of this treatment for pediatric burns , researchers queried an Australian burn center database that included structured interviews with patients and parents about first aid provided within 3 hours of injury , prior to burn center assessment .",为了评估这种治疗对小儿烧伤的效果，研究人员查询了澳大利亚烧伤中心的数据库，该数据库包括在烧伤中心评估之前对患者和父母进行的关于受伤 3 小时内提供的急救的结构化访谈。,"为了 评估 这一 疗法 对于 儿童 烧伤 的 效果 , 研究者 查询 了 一个 澳大利亚 烧伤 中心 的 数据库 , 该 数据库 包括 对 患者 及其 父母 所 做 的 结构化 访谈 , 访谈 内容 是 在 烧伤 中心 检查 之前 , 患者 于 受伤 后 3 小时 内 接受 的 急救 .",0.2816453980341521,0.5833333333333334,"['injury', 'parents', 'database', 'first aid', 'pediatric', 'assessment', 'treatment', 'prior', 'effect', '3', 'burns', 'burn center']","['injury', 'first aid', 'assessment', 'treatment', 'effect', 'burns', 'burn center']",0.7305555555555555
37,"patients with friction , electrical , and chemical burns as well as those with missing data were excluded .",有摩擦、电和化学灼伤的患者以及数据缺失的患者被排除在外。,"发生 摩擦 烧伤 , 电 烧伤 和 化学 烧伤 , 以及 数据 缺失 的 患者 被 排除 .",0.4714965606761368,0.5,"['data', 'chemical', 'friction', 'well', 'burns', 'missing']","['data', 'friction', 'missing']",0.75
38,"although observational , this study provides fairly convincing evidence that treatment of pediatric burns with cool running water as soon as possible improves important clinical outcomes .",虽然是观察性研究，但这项研究提供了相当有说服力的证据，证明尽快用凉爽的自来水治疗小儿烧伤可改善重要的临床结果。,"尽管 这是 一项 观察 性 研究 , 但 它 提供 了 相当 令人信服 的 证据 证明 , 儿童 烧伤 后 尽快 采用 流动 冷水 冲洗 可 改善 重要 的 临床 结局 .",0.28745384428781595,0.6666666666666666,"['pediatric', 'study', 'water', 'running', 'treatment', 'clinical', 'evidence', 'cool', 'burns']","['water', 'treatment', 'clinical', 'evidence', 'cool', 'burns']",0.7777777777777778
39,"the authors note that durations longer than 20 minutes have not been shown to provide additive benefit and could be harmful , although that was not tested in this study .",作者指出，持续时间超过 20 分钟并没有显示出额外的好处，而且可能有害，尽管本研究并未对此进行测试。,"作者 指出 , 超过 20 分钟 的 流动 冷水 冲洗 未 产生 额外 益处 , 而且 可能 有害 , 但本 研究 并未 检验 这 一点 .",0.20656873972324832,0.0,"['study', 'additive', 'note', 'benefit', 'have not']",[],0.16666666666666666
40,"HbA1c was averaged over time for each patient ( mean HbA1c level for the cohort , 8.0 % ) .",对每个患者的 HbA1c 随时间进行平均（队列的平均 HbA1c 水平，8.0%）。,"研究者 计算 了 每例 患者 随 时间推移 的 平均 HbA1c ( 队列 平均 HbA1c 水平 , 8.0% ) .",0.22083228780358016,0.8,"['mean', 'time', 'patient', 'level', 'cohort']","['mean', 'time', 'patient', 'level']",0.8
41,"thus , the authors suggest that an HbA1c target of 6.5 % to 6.9 % is reasonable .",因此，作者建议将 HbA1c 目标设定为 6.5% 至 6.9% 是合理的。,"因此 , 作者 认为 6.5% ~ 6.9% 的 HbA1c 目标 是 合理 的 .",0.21743082382052945,0.6666666666666666,"['target', 'thus', 'suggest']","['target', 'thus']",0.6666666666666666
42,"no ; benefits will outweigh risks for many menopausal patients who , through discussion of research findings and shared decision making , can make informed choices about HT use .",不 ;对于许多绝经期患者而言，收益将大于风险，他们可以通过讨论研究结果和共同决策，就 HT 使用做出明智的选择。,"不会 ; 对于 许多 绝经期 患者 而言 , 激素 疗法 的 益处 大于 风险 , 通过 讨论 研究 结果 和 共同 决策 , 她们 可以 做出 知情 选择 .",0.4597371925336918,0.5,"['research', 'shared decision making', 'menopausal', 'will', 'discussion', 'make']","['research', 'shared decision making', 'discussion']",0.6666666666666666
43,hormone therapy ( HT ) is the most effective treatment for bothersome menopausal vasomotor symptoms .,激素疗法 (HT) 是治疗烦人的更年期血管舒缩症状最有效的方法。,"对于 令人烦恼 的 绝经期 血管 舒缩 症状 , 激素 疗法 是 最 有效 的 治疗 手段 .",0.2598826624157241,0.5,"['hormone', 'vasomotor', 'symptoms', 'therapy', 'menopausal', 'treatment']","['hormone', 'therapy', 'treatment']",0.7525252525252526
44,both regimens raised risk for stroke and venous thromboembolism but lowered risk for fractures and diabetes .,这两种方案都会增加中风和静脉血栓栓塞的风险，但会降低骨折和糖尿病的风险。,"两种 方案 均 增加 了 卒 中 和 静脉 血栓 栓塞 的 风险 , 但 降低 了 骨折 和 糖尿病 的 风险 .",0.4772166970947136,0.7142857142857143,"['diabetes', 'stroke', 'venous', 'thromboembolism', 'risk', 'raised', 'fractures']","['diabetes', 'stroke', 'thromboembolism', 'risk', 'fractures']",0.9047619047619048
45,"although observational studies over the past several decades have linked HT to increased breast cancer risk , the specific associations with HT formulation , route of delivery , and duration have been poorly studied .",尽管过去几十年的观察性研究已将 HT 与乳腺癌风险增加联系起来，但与 HT 配方、分娩途径和持续时间的具体关联研究很少。,"尽管 过去 几十年 的 观察 性 研究 在 激素 疗法 与 乳腺癌 风险 增加 之间 建立 了 关联 , 但 在 与 激素 疗法 制剂 , 给 药 途径 和 持续时间 的 具体 关联 方面 , 目前 开展 的 研究 很少 .",0.3707772916849114,0.5714285714285714,"['breast cancer', 'delivery', 'risk', 'specific', 'formulation', 'duration', 'past']","['breast cancer', 'delivery', 'risk', 'duration']",0.6904761904761906
46,all systemic HT formulations ( including those using oral conjugated equine estrogens or estradiol or transdermal estradiol ) were associated with excess risk for breast cancer .,所有全身性 HT 制剂（包括使用口服结合马雌激素或雌二醇或透皮雌二醇的制剂）都与患乳腺癌的风险过高有关。,所有 全身 用药 的 激素 疗法 制剂 ( 包括 口服 结合 马 雌激素 或 雌二醇 或者 经皮 给 药 的 雌二醇 ) 均 与 乳腺癌 的 超额 危险度 相关 .,0.280933824451331,0.4,"['excess', 'oral', 'breast cancer', 'associated', 'equine', 'risk', 'systemic', 'estradiol', 'estrogens', 'transdermal']","['breast cancer', 'risk', 'estradiol', 'transdermal']",0.7694444444444445
47,type of progestogen did not appear to affect these associations .,孕激素的类型似乎并未影响这些关联。,孕激素 的 类型 似乎 不 影响 上述 关联 .,0.3976287099084597,0.6666666666666666,"['type', 'affect', 'progestogen']","['type', 'affect']",0.8888888888888888
48,vaginal estrogen was not associated with increased risk .,阴道雌激素与风险增加无关。,阴道 给 药 的 雌激素 未 伴有 风险 增加 .,0.13151515083561055,0.5,"['estrogen', 'vaginal', 'associated', 'risk']","['estrogen', 'risk']",0.6666666666666666
49,"assuming the reported associations are causal , the authors estimated the absolute risk for breast cancer up to age 70 .",假设报告的关联是因果关系，作者估计了 70 岁以下患乳腺癌的绝对风险。,"假设 报告 的 关联 是 因果关系 , 作者 估算 了 截至 70 岁 时 , 乳腺癌 的 绝对 风险 .",0.47915569255387486,0.6,"['absolute', 'breast cancer', 'age', 'risk', 'causal']","['absolute', 'breast cancer', 'risk']",0.8
50,"at 10 years of HT use , risks were approximately twice that at 5 years .",使用 HT 10 年时，风险大约是 5 年时的两倍。,使用 激素 疗法 10 年 时 的 风险 大约 是 5 年 时 的 2 倍 .,0.5198055906512222,0.3333333333333333,"['5', 'approximately', 'twice']",['5'],0.3333333333333333
51,"for EPT , both the randomized WHI trial and this new Lancet analysis of observational data indicated an increased risk for breast cancer .",对于 EPT，随机 WHI 试验和这项新的柳叶刀观察数据分析均表明患乳腺癌的风险增加。,"对于 雌激素 - 孕激素 疗法 , 随机 WHI 试验 与 《 柳叶刀 》 中 关于 观察 性 数据 的 这项 新 的 分析 均 表明 , 乳腺癌 风险 增加 .",0.1737179291949998,0.5,"['lancet', 'analysis', 'breast cancer', 'risk', 'trial', 'observational data', 'EPT', 'new']","['analysis', 'breast cancer', 'risk', 'new']",0.71875
52,could the excess risk found in observational studies be exaggerated due to inherent limitations of the study design ?,由于研究设计的固有局限性，是否会夸大观察性研究中发现的额外风险？,观察 性 研究 中 发现 的 超额 危险度 是否 因 研究 设计 中 的 固有 局限性 而 被 夸大 ?,0.4254169271937931,0.3333333333333333,"['excess', 'inherent', 'study', 'risk', 'design', 'due']","['risk', 'design']",0.5555555555555556
53,"in contrast , in the WHI trial ( and in most randomized trials of HT ) , both users and nonusers underwent uniformly standardized mammographic screening .",相比之下，在 WHI 试验（以及大多数 HT 随机试验）中，使用者和非使用者都接受了统一标准化的乳房 X 光检查。,"相比之下 , 在 WHI 试验 ( 以及 关于 激素 疗法 的 大多数 随机 试验 ) 中 , 使用 和 未 使用 激素 疗法 的 女性 均 接受 了 统一 的 标准化 乳腺 X 线 筛查 .",0.16344764543962303,0.0,"['contrast', 'screening', 'trial']",[],0.5333333333333333
54,"thus , the excess breast cancer risk in observational studies could reflect increased mammographic detection of nonlethal cancers .",因此，观察性研究中乳腺癌风险过高可能反映了非致命性癌症的乳房 X 光检查检测率增加。,"因此 , 观察 性 研究 中 乳腺癌 的 超额 危险度 可能 反映 出 乳腺 X 线 检查 发现 的 非 致死 性 乳腺癌 增加 .",0.27425451353060765,0.8333333333333334,"['excess', 'detection', 'breast cancer', 'reflect', 'risk', 'thus']","['detection', 'breast cancer', 'reflect', 'risk', 'thus']",0.9166666666666666
55,"accordingly , one advantage that observational studies have over randomized trials ( usually limited to 5 − 7 years of treatment ) is their ability to assess extended use .",因此，观察性研究优于随机试验（通常限于 5-7 年的治疗）的一个优势是它们能够评估延长使用时间。,"因此 , 观察 性 研究 胜过 随机 试验 ( 通常 限于 5 ~ 7 年 的 治疗 ) 的 一个 优势 是 可以 评估 长期 用药 .",0.33930817987490164,0.6666666666666666,"['5', 'treatment', 'advantage', 'ability', 'assess', 'limited']","['5', 'treatment', 'advantage', 'assess']",0.8611111111111112
56,"understandably , women are often concerned about breast cancer risk as they make decisions about HT ; however , such decisions should be guided by the big picture .",可以理解的是，女性在做出关于 HT 的决定时通常会担心患乳腺癌的风险；但是，此类决策应以大局为指导。,"可以 理解 , 女性 在 做 关于 激素 疗法 的 决策 时 , 常 担心 乳腺癌 的 风险 ; 然而 , 制订 此类 决策 时应 眼观 大局 .",0.17752157008973296,0.5,"['breast cancer', 'picture', 'risk', 'make']","['breast cancer', 'risk']",0.5
