,Unnamed: 0_x,English,Chinese_Google,Dict_Acc_Google,Terms_Google,Correct_Terms_Google,Unnamed: 0_y,Chinese_M2M,Dict_Acc_M2M,Terms_M2M,Correct_Terms_M2M,Unnamed: 0,Chinese_GPT,Dict_Acc_GPT,Terms_GPT,Correct_Terms_GPT,Human Eval Google,Human Eval M2M,Human Eval Medical M2M,Human Eval GPT
16,16,"also , importantly , not only was obesity or diabetes each individually a driver of significant liver disease , but their combined presence showed a synergistic effect on prevalence .",同样重要的是，不仅肥胖或糖尿病各自单独成为严重肝病的驱动因素，而且它们的共同存在对患病率显示出协同效应。,0.7,"['presence', 'diabetes', 'prevalence', 'liver disease', 'obesity', 'driver', 'synergistic effect', 'on', 'each', 'but']","['presence', 'diabetes', 'liver disease', 'obesity', 'synergistic effect', 'each', 'but']",16,"['此外,重要的是,不僅肥胖或糖尿病,每個人都是一個重大肝病的導致者,但他們的組合存在表明對流行性有相互作用。']",0.6,"['presence', 'diabetes', 'prevalence', 'liver disease', 'obesity', 'driver', 'synergistic effect', 'on', 'each', 'but']","['presence', 'diabetes', 'prevalence', 'liver disease', 'obesity', 'but']",16,此外，重要的是，肥胖或糖尿病不仅本身就是导致严重肝病的因素，而且它们的共存显示出对发病率的协同效应。,0.6,"['presence', 'diabetes', 'prevalence', 'liver disease', 'obesity', 'driver', 'synergistic effect', 'on', 'each', 'but']","['presence', 'diabetes', 'liver disease', 'obesity', 'synergistic effect', 'but']",10.0,6.0,5.0,10.0
17,17,"Helicobacter pylori is a known risk factor for gastric cancer , and its eradication may be protective against the disease .",幽门螺杆菌是胃癌的已知危险因素，根除幽门螺杆菌可预防该病。,0.375,"['eradication', 'disease', 'helicobacter', 'be', 'risk factor', 'protective', 'gastric cancer', 'and']","['eradication', 'disease', 'gastric cancer']",17,"['Helicobacter pylori 是一种已知的胃癌风险因素,其消除可能对疾病有保护性。']",0.375,"['eradication', 'disease', 'helicobacter', 'be', 'risk factor', 'protective', 'gastric cancer', 'and']","['disease', 'risk factor', 'gastric cancer']",17,"Helicobacter pylori is a known risk factor for gastric cancer , and its eradication may be protective against the disease .

中文：
幽门螺杆菌是胀胃癌的已知风险因素，消除它可能有助于预防这种疾病。",0.375,"['eradication', 'disease', 'helicobacter', 'be', 'risk factor', 'protective', 'gastric cancer', 'and']","['disease', 'risk factor', 'gastric cancer']",10.0,5.0,2.0,10.0
18,18,both garlic and vitamin supplementation may also be protective in populations with nutritional deficiencies .,大蒜和维生素补充剂也可能对营养缺乏的人群起到保护作用。,0.2857142857142857,"['vitamin', 'be', 'garlic', 'nutritional', 'protective', 'with', 'and']","['vitamin', 'garlic']",18,['胡萝卜和维生素补充剂在营养缺陷的人群中也可能有保护性。'],0.2857142857142857,"['vitamin', 'be', 'garlic', 'nutritional', 'protective', 'with', 'and']","['vitamin', 'be']",18,在营养不良的人群中，大蒜和维生素补充都可能具有防护作用。,0.4285714285714285,"['vitamin', 'be', 'garlic', 'nutritional', 'protective', 'with', 'and']","['vitamin', 'be', 'garlic']",10.0,8.0,3.0,10.0
19,19,"the 2258 participants with H. pylori infection were assigned in a 2 × 2 × 2 factorial fashion to H. pylori eradication treatment , supplementation with vitamins ( vitamins C , E , and selenium ) , or supplementation with garlic ( extract and oil ) or to placebos for each .",2258名感染幽门螺杆菌的参与者以2 × 2 × 2析因方式被分配到根除幽门螺杆菌治疗、补充维生素（维生素C、E和硒） ，或补充大蒜（提取物和油） ，或每个安慰剂。,0.625,"['infection', 'placebos', 'extract', 'eradication', 'oil', '2', 'garlic', 'treatment', 'selenium', 'with', 'C', 'E', 'vitamins', 'each', 'to', 'and']","['infection', 'placebos', 'extract', 'eradication', 'oil', '2', 'garlic', 'treatment', 'selenium', 'vitamins']",19,['2258名患有H. pylori感染的参与者以2×2×2因子方式被分配给H. pylori消灭治疗、维生素补充(维生素C、E、和<unk>)或加胡萝卜补充(提取物和油)或每种补充。'],0.375,"['infection', 'placebos', 'extract', 'eradication', 'oil', '2', 'garlic', 'treatment', 'selenium', 'with', 'C', 'E', 'vitamins', 'each', 'to', 'and']","['infection', 'extract', 'oil', '2', 'treatment', 'vitamins']",19,"2258 participants infected with H. pylori were assigned to H. pylori eradication treatment, supplementation with vitamins (vitamins C, E, and selenium), or supplementation with garlic (extract and oil) or to placebos for each in a 2 × 2 × 2 factorial fashion.",0.0625,"['infection', 'placebos', 'extract', 'eradication', 'oil', '2', 'garlic', 'treatment', 'selenium', 'with', 'C', 'E', 'vitamins', 'each', 'to', 'and']",['2'],8.0,7.0,2.0,
20,20,the 1107 participants without H. pylori infection were assigned in a 2 × 2 factorial fashion to vitamin or garlic supplementation or to placebos for each .,1107 名未感染幽门螺杆菌的参与者以 2 × 2 阶乘方式被分配到维生素或大蒜补充剂组或安慰剂组。,0.625,"['infection', 'placebos', 'vitamin', '2', 'garlic', 'each', 'to', 'without']","['infection', 'placebos', 'vitamin', '2', 'garlic']",20,['没有H.pylori感染的1107名参与者以2×2因子方式分配到维生素或胡萝卜补充剂或每人分配到 placebo。'],0.375,"['infection', 'placebos', 'vitamin', '2', 'garlic', 'each', 'to', 'without']","['infection', 'vitamin', '2']",20,将1107名患者分成两组，一组接受维生素补充，一组接受大蒜补充，每组各自再分为服用药物和安慰剂两组。,0.5,"['infection', 'placebos', 'vitamin', '2', 'garlic', 'each', 'to', 'without']","['placebos', 'vitamin', 'garlic', 'each']",10.0,8.0,2.0,7.0
21,21,"H. pylori eradication reduced the incidence of gastric cancer ( odds ratio , 0.48 ) and mortality from gastric cancer ( adjusted hazard ratio , 0.62 ) .",根除幽门螺杆菌降低了胃癌的发病率（比值比，0.48）和胃癌死亡率（调整后的风险比，0.62）。,0.7142857142857143,"['eradication', 'incidence', 'hazard ratio', 'mortality', 'gastric cancer', 'and', 'odds']","['eradication', 'incidence', 'hazard ratio', 'mortality', 'gastric cancer']",21,['H. pylori 消除降低了胃癌的发病率(率为 0.48 )和胃癌的死亡率(调整的危险率为 0.62 )。'],0.4285714285714285,"['eradication', 'incidence', 'hazard ratio', 'mortality', 'gastric cancer', 'and', 'odds']","['incidence', 'mortality', 'gastric cancer']",21,"H. pylori eradication reduced the incidence of gastric cancer ( odds ratio , 0.48 ) and mortality from gastric cancer ( adjusted hazard ratio , 0.62 ) .

Chinese:

H. pylori根除有助于减少胃癌的发病率(赔率比为0.48)和死亡率(调整后的危险比为0.62)。",0.5714285714285714,"['eradication', 'incidence', 'hazard ratio', 'mortality', 'gastric cancer', 'and', 'odds']","['eradication', 'incidence', 'mortality', 'gastric cancer']",10.0,10.0,3.0,8.0
22,22,"vitamin supplementation also decreased the incidence of gastric cancer ( OR , 0.64 ) and mortality from gastric cancer ( aHR , 0.48 ) .","维生素补充剂还降低了胃癌的发病率 (OR, 0.64) 和胃癌死亡率 (aHR, 0.48)。",0.6666666666666666,"['incidence', 'vitamin', 'mortality', 'OR', 'gastric cancer', 'and']","['incidence', 'vitamin', 'mortality', 'gastric cancer']",22,"['维生素补充也降低了胃癌的发病率( OR, 0.64 )和胃癌的死亡率( aHR, 0.48 )。']",0.6666666666666666,"['incidence', 'vitamin', 'mortality', 'OR', 'gastric cancer', 'and']","['incidence', 'vitamin', 'mortality', 'gastric cancer']",22,"vitamin supplementation also decreased the incidence of gastric cancer (OR, 0.64) and mortality from gastric cancer (aHR, 0.48).",0.0,"['incidence', 'vitamin', 'mortality', 'OR', 'gastric cancer', 'and']",[],10.0,9.0,5.0,
23,23,"garlic supplementation did not reduce gastric cancer incidence but did reduce mortality from gastric cancer ( aHR , 0.66 ) .","大蒜补充剂并未降低胃癌的发病率，但确实降低了胃癌的死亡率 (aHR, 0.66)。",1.0,"['incidence', 'reduce', 'garlic', 'mortality', 'gastric cancer', 'but']","['incidence', 'reduce', 'garlic', 'mortality', 'gastric cancer', 'but']",23,"['加糖补充剂没有减少胃癌的发病率,但减少了胃癌的死亡率(aHR,0.66)。']",0.6666666666666666,"['incidence', 'reduce', 'garlic', 'mortality', 'gastric cancer', 'but']","['incidence', 'mortality', 'gastric cancer', 'but']",23,"garlic supplementation did not reduce gastric cancer incidence but did reduce mortality from gastric cancer ( aHR , 0.66 ) .

Chinese:

大蒜补充剂并未减少胃癌发病率，但却可以减少胃癌死亡率（aHR，0.66）。",0.8333333333333334,"['incidence', 'reduce', 'garlic', 'mortality', 'gastric cancer', 'but']","['incidence', 'garlic', 'mortality', 'gastric cancer', 'but']",10.0,8.0,3.0,10.0
24,24,the beneficial effects of both vitamin and garlic supplementation were seen later than those from H. pylori eradication .,维生素和大蒜补充剂的有益作用晚于根除幽门螺杆菌。,0.6,"['eradication', 'vitamin', 'garlic', 'later', 'and']","['eradication', 'vitamin', 'garlic']",24,['维生素和胡萝卜补充剂的有益效果比H.pylori消灭的效果更晚。'],0.2,"['eradication', 'vitamin', 'garlic', 'later', 'and']",['vitamin'],24,在H. pylori清除后，维生素和大蒜补充的有益效果才开始显现。,0.6,"['eradication', 'vitamin', 'garlic', 'later', 'and']","['vitamin', 'garlic', 'later']",10.0,8.0,3.0,10.0
25,25,"although the results reconfirm the benefit of H. pylori eradication at reducing gastric cancer incidence and mortality , the findings of the benefits of vitamin and garlic supplementation required longer observation to become apparent .",虽然结果再次证实了根除幽门螺杆菌对降低胃癌发病率和死亡率的益处，但补充维生素和大蒜的益处的发现需要更长时间的观察才能变得明显。,0.6363636363636364,"['eradication', 'incidence', 'vitamin', 'garlic', 'mortality', 'benefit', 'observation', 'gastric cancer', 'become', 'to', 'and']","['eradication', 'incidence', 'vitamin', 'garlic', 'mortality', 'observation', 'gastric cancer']",25,"['虽然结果证实了H. pylori的消灭对减少胃癌的发病率和死亡率的好处,但维生素和胡萝卜补充的好处的发现需要更长的观察才能显而易见。']",0.5454545454545454,"['eradication', 'incidence', 'vitamin', 'garlic', 'mortality', 'benefit', 'observation', 'gastric cancer', 'become', 'to', 'and']","['incidence', 'vitamin', 'mortality', 'observation', 'gastric cancer', 'and']",25,尽管结果重申了除去H. pylori对减少胃癌发病率和死亡率的益处，但维生素和大蒜补充的益处需要更长时间的观察才能显现出来。,0.5454545454545454,"['eradication', 'incidence', 'vitamin', 'garlic', 'mortality', 'benefit', 'observation', 'gastric cancer', 'become', 'to', 'and']","['incidence', 'vitamin', 'garlic', 'mortality', 'observation', 'gastric cancer']",,,,
26,26,"the generalizability of the findings on supplementation may be limited , given that the study population had baseline nutritional deficiencies and a high risk for gastric cancer , but I would consider recommending a multivitamin for my patients at high risk for gastric cancer .",考虑到研究人群基线营养缺乏和胃癌高风险，补充剂研究结果的普遍性可能有限，但我会考虑向我的胃癌高风险患者推荐复合维生素。,0.3076923076923077,"['population', 'baseline', 'high risk', 'study', 'my', 'be', 'nutritional', 'gastric cancer', 'limited', 'I', 'that', 'but', 'and']","['population', 'baseline', 'gastric cancer', 'but']",26,"['关于补充剂的发现的普遍性可能有限,因为研究人口的基本营养缺陷和胃癌的风险很高,但我会考虑推荐一个多维生素给我的患者患胃癌的风险很高。']",0.2307692307692307,"['population', 'baseline', 'high risk', 'study', 'my', 'be', 'nutritional', 'gastric cancer', 'limited', 'I', 'that', 'but', 'and']","['population', 'gastric cancer', 'but']",26,"给高胃癌风险的患者推荐多种维生素补充剂的可推广性可能有限，因为研究人群在营养方面存在基线缺乏，并且风险较高，但我会考虑为我的高风险患者推荐多种维生素。

Chinese:

鉴于研究人群在营养方面存在基线缺乏，并且风险较高，给高胃癌风险的患者推荐多种维生素补充剂的可推广性可能有限，但我会考虑为我的高风险患者推荐多种维生素。",0.3846153846153846,"['population', 'baseline', 'high risk', 'study', 'my', 'be', 'nutritional', 'gastric cancer', 'limited', 'I', 'that', 'but', 'and']","['population', 'baseline', 'be', 'gastric cancer', 'but']",,,,
27,27,a large cohort study found higher rates of cancer in children who underwent computed tomography than in those who did not .,一项大型队列研究发现，接受过计算机断层扫描的儿童患癌症的几率高于未接受过计算机断层扫描的儿童。,0.1666666666666666,"['cancer', 'who', 'large', 'cohort study', 'computed tomography', 'in']",['cancer'],27,"['一项大型协调研究发现,在受计算 tomography 的儿童中,癌症的发病率高于未经计算的儿童中。']",0.1666666666666666,"['cancer', 'who', 'large', 'cohort study', 'computed tomography', 'in']",['cancer'],27,一项大型队列研究发现，接受过CT扫描的儿童患癌症的比例要高于那些未接受CT扫描的儿童。,0.1666666666666666,"['cancer', 'who', 'large', 'cohort study', 'computed tomography', 'in']",['cancer'],,,,
28,28,"concerns about the carcinogenic effects of radiation are largely based on data from atomic bomb survivors , and the effects of ionizing radiation used for medical imaging are less well studied .",对辐射致癌作用的担忧主要基于原子弹爆炸幸存者的数据，而用于医学成像的电离辐射的影响研究较少。,0.4444444444444444,"['carcinogenic', 'data', 'bomb', 'medical', 'ionizing radiation', 'well', 'atomic', 'imaging', 'and']","['data', 'bomb', 'ionizing radiation', 'and']",28,"['关于辐射的致癌作用的担忧主要是基于原子弹幸存者的数据,用于医学图像的离子辐射的效果不太好研究。']",0.2222222222222222,"['carcinogenic', 'data', 'bomb', 'medical', 'ionizing radiation', 'well', 'atomic', 'imaging', 'and']","['data', 'bomb']",28,关于辐射致癌作用的担忧主要基于原子弹幸存者的数据，而用于医疗成像的带电粒子辐射的影响则不是很好地研究。,0.3333333333333333,"['carcinogenic', 'data', 'bomb', 'medical', 'ionizing radiation', 'well', 'atomic', 'imaging', 'and']","['data', 'bomb', 'and']",,,,
29,29,"to count as an exposure , diagnostic radiation had to have occurred two years before any cancer diagnosis .",要算作一次暴露，诊断性辐射必须在任何癌症诊断前两年发生。,0.5454545454545454,"['count', 'cancer', 'radiation', 'exposure', 'diagnosis', 'diagnostic', 'as', 'have', 'before', 'to', 'two']","['cancer', 'radiation', 'exposure', 'diagnosis', 'before', 'two']",29,"['要计算为曝光,诊断辐射必须在任何癌症诊断之前发生两年。']",0.5454545454545454,"['count', 'cancer', 'radiation', 'exposure', 'diagnosis', 'diagnostic', 'as', 'have', 'before', 'to', 'two']","['cancer', 'radiation', 'exposure', 'diagnosis', 'before', 'two']",29,被认为是一次暴露，诊断性辐射必须在任何癌症诊断前两年发生。,0.5454545454545454,"['count', 'cancer', 'radiation', 'exposure', 'diagnosis', 'diagnostic', 'as', 'have', 'before', 'to', 'two']","['cancer', 'radiation', 'exposure', 'diagnosis', 'before', 'two']",,,,
30,30,"new cancers were diagnosed in 22,000 patients ( 0.02 % ) , including 1444 patients after radiation exposure ( 0.1 % ) .","22,000 名患者 (0.02%) 被诊断出新的癌症，其中包括 1444 名接受辐射照射后的患者 (0.1%)。",0.8,"['radiation', 'exposure', 'after', 'in', 'new']","['radiation', 'exposure', 'after', 'new']",30,"['新的癌症被诊断为22000名患者(0.02%),其中1444名患者在辐射曝光后(0.1%)。']",0.8,"['radiation', 'exposure', 'after', 'in', 'new']","['radiation', 'exposure', 'after', 'new']",30,"新的癌症在22,000名病人身上被诊断出来（0.02%），其中1444名病人是在放射线暴露后被诊断出来的（0.1%）。",0.8,"['radiation', 'exposure', 'after', 'in', 'new']","['radiation', 'exposure', 'after', 'new']",,,,
